Year,Quarter,effective_fare_paid_per_rider,effective_fare_loss_per_rider
2020,Q4,2.1155749999999998,0.6344250000000002
2021,Q1,2.0647,0.6852999999999998
2021,Q2,2.0718499999999995,0.6781500000000005
2021,Q3,2.035275,0.714725
2021,Q4,1.924175,0.825825
2022,Q1,1.85845,0.8915500000000001
2022,Q2,1.8381,0.9118999999999999
2022,Q3,1.8227000000000002,0.9272999999999998
2022,Q4,1.72645,1.02355
2023,Q1,1.6907,1.0593
2023,Q2,1.6511000000000002,1.0988999999999998
2023,Q3,1.69505,1.20495
2023,Q4,1.5631,1.3369
2024,Q1,1.5152499999999998,1.3847500000000001
2024,Q2,1.4674,1.4325999999999999
2024,Q3,1.50858,1.3914199999999999
2024,Q4,1.5978999999999997,1.3021000000000003
2025,Q1,1.6240000000000003,1.2759999999999996
