Year,Quarter,NoPay_Passengers,Paying Passengers
2020,Q4,19256762.007,64214247.993
2021,Q1,19340840.374799997,58270878.6252
2021,Q2,23455691.66340001,71660657.33659999
2021,Q3,26316954.200000003,74941045.8
2021,Q4,32327834.939400002,75323963.0606
2022,Q1,31654476.266000003,65984253.734
2022,Q2,36497033.388,73566396.612
2022,Q3,36352336.62599999,71454118.37400001
2022,Q4,40360701.3898,68077507.6102
2023,Q1,41717220.8616,66582937.1384
2023,Q2,44540329.885199994,66921957.114800006
2023,Q3,43514137.0575,61213027.9425
2023,Q4,46584137.12900001,54466051.87099999
2024,Q1,46455391.972500004,50833387.027499996
2024,Q2,49850944.936,51061899.064
2024,Q3,48404267.948,52479992.052
2024,Q4,49294164.09300001,60492392.90699999
