year,day_type,period,avg_speed_weighted
2015,1,Off-Peak,7.942911599799159
2015,1,Peak,7.227970713691836
2015,2,Off-Peak,8.566188893259747
2015,2,Peak,8.356334345697777
2016,1,Off-Peak,7.899523231453799
2016,1,Peak,7.165872470054124
2016,2,Off-Peak,8.479449662080585
2016,2,Peak,8.252277777513024
2017,1,Off-Peak,7.8084435833201375
2017,1,Peak,7.086765589529562
2017,2,Off-Peak,8.392364264966762
2017,2,Peak,8.179696626230978
2018,1,Off-Peak,7.79092993084841
2018,1,Peak,7.076511521298685
2018,2,Off-Peak,8.40839878765851
2018,2,Peak,8.182297202656615
2019,1,Off-Peak,7.854078312155712
2019,1,Peak,7.113218681483924
2019,2,Off-Peak,8.43006688357228
2019,2,Peak,8.134389671557743
2020,1,Off-Peak,8.380125315642681
2020,1,Peak,7.704029704840352
2020,2,Off-Peak,8.915156448034399
2020,2,Peak,8.539527698268405
2021,1,Off-Peak,8.108908421303859
2021,1,Peak,7.450950428956581
2021,2,Off-Peak,8.670977376841499
2021,2,Peak,8.37217409656652
2022,1,Off-Peak,7.961551415558805
2022,1,Peak,7.2954807389331355
2022,2,Off-Peak,8.504772940546392
2022,2,Peak,8.219793272185381
2023,1,Off-Peak,7.896634875342189
2023,1,Peak,7.247842673479897
2023,2,Off-Peak,8.41906473280148
2023,2,Peak,8.159143610144097
2024,1,Off-Peak,7.819285896097956
2024,1,Peak,7.176977997491459
2024,2,Off-Peak,8.33232270681951
2024,2,Peak,8.070466376008879
2025,1,Off-Peak,7.875896448529925
2025,1,Peak,7.24187269576914
2025,2,Off-Peak,8.362045254953195
2025,2,Peak,8.132412492776371
