Date,Value,Mode,Metric,Year,Month,Quarter,Month_Name
2020-03-01,2212965.0,Subways,Total Estimated Ridership,2020,3,Q1,March
2020-03-02,5329915.0,Subways,Total Estimated Ridership,2020,3,Q1,March
2020-03-03,5481103.0,Subways,Total Estimated Ridership,2020,3,Q1,March
2020-03-04,5498809.0,Subways,Total Estimated Ridership,2020,3,Q1,March
2020-03-05,5496453.0,Subways,Total Estimated Ridership,2020,3,Q1,March
2020-03-06,5189447.0,Subways,Total Estimated Ridership,2020,3,Q1,March
2020-03-07,2814637.0,Subways,Total Estimated Ridership,2020,3,Q1,March
2020-03-08,2120656.0,Subways,Total Estimated Ridership,2020,3,Q1,March
2020-03-09,4973513.0,Subways,Total Estimated Ridership,2020,3,Q1,March
2020-03-10,4867818.0,Subways,Total Estimated Ridership,2020,3,Q1,March
2020-03-11,4697122.0,Subways,Total Estimated Ridership,2020,3,Q1,March
2020-03-12,4149505.0,Subways,Total Estimated Ridership,2020,3,Q1,March
2020-03-13,3484996.0,Subways,Total Estimated Ridership,2020,3,Q1,March
2020-03-14,1670665.0,Subways,Total Estimated Ridership,2020,3,Q1,March
2020-03-15,1157711.0,Subways,Total Estimated Ridership,2020,3,Q1,March
2020-03-16,2178555.0,Subways,Total Estimated Ridership,2020,3,Q1,March
2020-03-17,1788786.0,Subways,Total Estimated Ridership,2020,3,Q1,March
2020-03-18,1625280.0,Subways,Total Estimated Ridership,2020,3,Q1,March
2020-03-19,1422112.0,Subways,Total Estimated Ridership,2020,3,Q1,March
2020-03-20,1309125.0,Subways,Total Estimated Ridership,2020,3,Q1,March
2020-03-21,619618.0,Subways,Total Estimated Ridership,2020,3,Q1,March
2020-03-22,408723.0,Subways,Total Estimated Ridership,2020,3,Q1,March
2020-03-23,709499.0,Subways,Total Estimated Ridership,2020,3,Q1,March
2020-03-24,741587.0,Subways,Total Estimated Ridership,2020,3,Q1,March
2020-03-25,690032.0,Subways,Total Estimated Ridership,2020,3,Q1,March
2020-03-26,680360.0,Subways,Total Estimated Ridership,2020,3,Q1,March
2020-03-27,656817.0,Subways,Total Estimated Ridership,2020,3,Q1,March
2020-03-28,332393.0,Subways,Total Estimated Ridership,2020,3,Q1,March
2020-03-29,263700.0,Subways,Total Estimated Ridership,2020,3,Q1,March
2020-03-30,545215.0,Subways,Total Estimated Ridership,2020,3,Q1,March
2020-03-31,508106.0,Subways,Total Estimated Ridership,2020,3,Q1,March
2020-04-01,513481.0,Subways,Total Estimated Ridership,2020,4,Q2,April
2020-04-02,485586.0,Subways,Total Estimated Ridership,2020,4,Q2,April
2020-04-03,483357.0,Subways,Total Estimated Ridership,2020,4,Q2,April
2020-04-04,282278.0,Subways,Total Estimated Ridership,2020,4,Q2,April
2020-04-05,227303.0,Subways,Total Estimated Ridership,2020,4,Q2,April
2020-04-06,445454.0,Subways,Total Estimated Ridership,2020,4,Q2,April
2020-04-07,434986.0,Subways,Total Estimated Ridership,2020,4,Q2,April
2020-04-08,427485.0,Subways,Total Estimated Ridership,2020,4,Q2,April
2020-04-09,404635.0,Subways,Total Estimated Ridership,2020,4,Q2,April
2020-04-10,400275.0,Subways,Total Estimated Ridership,2020,4,Q2,April
2020-04-11,257061.0,Subways,Total Estimated Ridership,2020,4,Q2,April
2020-04-12,198399.0,Subways,Total Estimated Ridership,2020,4,Q2,April
2020-04-13,363312.0,Subways,Total Estimated Ridership,2020,4,Q2,April
2020-04-14,430155.0,Subways,Total Estimated Ridership,2020,4,Q2,April
2020-04-15,419059.0,Subways,Total Estimated Ridership,2020,4,Q2,April
2020-04-16,420223.0,Subways,Total Estimated Ridership,2020,4,Q2,April
2020-04-17,432368.0,Subways,Total Estimated Ridership,2020,4,Q2,April
2020-04-18,254453.0,Subways,Total Estimated Ridership,2020,4,Q2,April
2020-04-19,224411.0,Subways,Total Estimated Ridership,2020,4,Q2,April
2020-04-20,437852.0,Subways,Total Estimated Ridership,2020,4,Q2,April
2020-04-21,422107.0,Subways,Total Estimated Ridership,2020,4,Q2,April
2020-04-22,458781.0,Subways,Total Estimated Ridership,2020,4,Q2,April
2020-04-23,453520.0,Subways,Total Estimated Ridership,2020,4,Q2,April
2020-04-24,443956.0,Subways,Total Estimated Ridership,2020,4,Q2,April
2020-04-25,295387.0,Subways,Total Estimated Ridership,2020,4,Q2,April
2020-04-26,218787.0,Subways,Total Estimated Ridership,2020,4,Q2,April
2020-04-27,462888.0,Subways,Total Estimated Ridership,2020,4,Q2,April
2020-04-28,489247.0,Subways,Total Estimated Ridership,2020,4,Q2,April
2020-04-29,477799.0,Subways,Total Estimated Ridership,2020,4,Q2,April
2020-04-30,465869.0,Subways,Total Estimated Ridership,2020,4,Q2,April
2020-05-01,494549.0,Subways,Total Estimated Ridership,2020,5,Q2,May
2020-05-02,325865.0,Subways,Total Estimated Ridership,2020,5,Q2,May
2020-05-03,258865.0,Subways,Total Estimated Ridership,2020,5,Q2,May
2020-05-04,511866.0,Subways,Total Estimated Ridership,2020,5,Q2,May
2020-05-05,522085.0,Subways,Total Estimated Ridership,2020,5,Q2,May
2020-05-06,508824.0,Subways,Total Estimated Ridership,2020,5,Q2,May
2020-05-07,535073.0,Subways,Total Estimated Ridership,2020,5,Q2,May
2020-05-08,526054.0,Subways,Total Estimated Ridership,2020,5,Q2,May
2020-05-09,316883.0,Subways,Total Estimated Ridership,2020,5,Q2,May
2020-05-10,271947.0,Subways,Total Estimated Ridership,2020,5,Q2,May
2020-05-11,520873.0,Subways,Total Estimated Ridership,2020,5,Q2,May
