month,borough,trip_type,route_id,period,number_of_customers,additional_bus_stop_time,additional_travel_time,customer_journey_time_performance
2020-01-01,Bronx,LCL/LTD,BX1,Off-Peak,259201.9,1.8816458,0.7356201,0.7232152
2020-01-01,Bronx,LCL/LTD,BX1,Peak,169789.2,2.338205,1.0727103,0.6710249
2020-01-01,Bronx,LCL/LTD,BX10,Off-Peak,153861.45,1.9426088,0.5866108,0.7358766
2020-01-01,Bronx,LCL/LTD,BX10,Peak,109378.08,1.7505347,0.9618724,0.70916605
2020-01-01,Bronx,LCL/LTD,BX11,Off-Peak,203682.67,2.1928887,1.1078291,0.6853787
2020-01-01,Bronx,LCL/LTD,BX11,Peak,152125.92,2.5565133,1.4557588,0.64963937
2020-01-01,Bronx,LCL/LTD,BX12,Off-Peak,153656.45,1.5266027,-0.24130334,0.8104012
2020-01-01,Bronx,LCL/LTD,BX12,Peak,93100.85,1.7858647,0.02484916,0.75483423
2020-01-01,Bronx,SBS,BX12+,Off-Peak,421052.97,1.6479691,1.1510216,0.69143164
2020-01-01,Bronx,SBS,BX12+,Peak,294862.25,1.7470483,1.7499889,0.6462831
2020-01-01,Bronx,LCL/LTD,BX13,Off-Peak,163453.27,1.5893079,-0.16429694,0.8164526
2020-01-01,Bronx,LCL/LTD,BX13,Peak,119069.95,1.822784,-0.05101213,0.8291039
2020-01-01,Bronx,LCL/LTD,BX15,Off-Peak,390296.9,2.560721,1.2270088,0.6540326
2020-01-01,Bronx,LCL/LTD,BX15,Peak,266262.9,2.4383116,1.3400966,0.6545399
2020-01-01,Bronx,LCL/LTD,BX16,Off-Peak,117148.125,2.7977102,1.7066934,0.62715864
2020-01-01,Bronx,LCL/LTD,BX16,Peak,92962.22,3.3044293,2.7596564,0.5655929
2020-01-01,Bronx,LCL/LTD,BX17,Off-Peak,160851.6,3.0438027,1.7632186,0.6103348
2020-01-01,Bronx,LCL/LTD,BX17,Peak,123756.06,2.934955,1.8612461,0.596964
2020-01-01,Bronx,LCL/LTD,BX18,Off-Peak,32660.924,5.1054296,0.6708174,0.6215819
2020-01-01,Bronx,LCL/LTD,BX18,Peak,26258.875,5.1278234,1.182966,0.560145
2020-01-01,Bronx,LCL/LTD,BX19,Off-Peak,428231.06,1.7480235,0.42672276,0.73439753
2020-01-01,Bronx,LCL/LTD,BX19,Peak,267270.25,1.7871348,0.5587441,0.7253313
2020-01-01,Bronx,LCL/LTD,BX2,Off-Peak,270612.06,1.770762,0.18798165,0.73839825
2020-01-01,Bronx,LCL/LTD,BX2,Peak,168291.36,1.7964674,0.2805608,0.7404208
2020-01-01,Bronx,LCL/LTD,BX20,Off-Peak,3916.8506,1.4451834,1.3951689,0.77882177
2020-01-01,Bronx,LCL/LTD,BX20,Peak,18285.941,2.2753186,1.7505262,0.6835038
2020-01-01,Bronx,LCL/LTD,BX21,Off-Peak,222000.9,2.1329207,0.7927099,0.7045392
2020-01-01,Bronx,LCL/LTD,BX21,Peak,155406.72,2.494024,0.95910716,0.6788769
2020-01-01,Bronx,LCL/LTD,BX22,Off-Peak,206746.98,1.4728488,0.32748055,0.79061866
2020-01-01,Bronx,LCL/LTD,BX22,Peak,154270.36,1.5267258,0.67177147,0.75640917
2020-01-01,Bronx,LCL/LTD,BX23,Off-Peak,46325.938,2.0179498,0.76614445,0.81186557
