month,borough,trip_type,route_id,period,number_of_customers,additional_bus_stop_time,additional_travel_time,customer_journey_time_performance
2025-01-01,Bronx,LCL/LTD,BX1,Off-Peak,291643,1.9600463,0.39695337,0.7304633
2025-01-01,Bronx,LCL/LTD,BX1,Peak,185171.31,2.5877516,0.65879434,0.67610264
2025-01-01,Bronx,LCL/LTD,BX10,Off-Peak,166655.34,1.8223281,0.3974738,0.7549964
2025-01-01,Bronx,LCL/LTD,BX10,Peak,127306.18,1.3576108,0.3699289,0.7705307
2025-01-01,Bronx,LCL/LTD,BX11,Off-Peak,274088.97,1.9637899,-0.4396113,0.76819396
2025-01-01,Bronx,LCL/LTD,BX11,Peak,186957.36,2.2543166,-0.33789694,0.7473802
2025-01-01,Bronx,LCL/LTD,BX12,Off-Peak,271773,1.4337592,-0.830949,0.82426983
2025-01-01,Bronx,LCL/LTD,BX12,Peak,153914.89,1.2991925,-1.0048105,0.82312655
2025-01-01,Bronx,SBS,BX12+,Off-Peak,520522.12,1.7996658,0.44792336,0.7452595
2025-01-01,Bronx,SBS,BX12+,Peak,349059.03,2.6382477,0.4158534,0.7485967
2025-01-01,Bronx,LCL/LTD,BX13,Off-Peak,221722.44,2.8489215,-0.3052799,0.77934724
2025-01-01,Bronx,LCL/LTD,BX13,Peak,153832.17,3.045415,-0.511999,0.79054695
2025-01-01,Bronx,LCL/LTD,BX15,Off-Peak,344481.88,3.2146235,1.2447549,0.63327456
2025-01-01,Bronx,LCL/LTD,BX15,Peak,214019.8,3.726071,1.3234184,0.6071438
2025-01-01,Bronx,LCL/LTD,BX16,Off-Peak,132041.25,1.7528543,0.9618719,0.7327664
2025-01-01,Bronx,LCL/LTD,BX16,Peak,100809.09,1.7258781,1.1943699,0.69775194
2025-01-01,Bronx,LCL/LTD,BX17,Off-Peak,188743.4,3.0072336,1.2762448,0.6337034
2025-01-01,Bronx,LCL/LTD,BX17,Peak,135696.2,3.2035515,1.0727535,0.62933785
2025-01-01,Bronx,LCL/LTD,BX18A,Off-Peak,33445.07,4.361198,0.2770865,0.6487957
2025-01-01,Bronx,LCL/LTD,BX18A,Peak,31962.43,2.9873896,-0.035962865,0.691233
2025-01-01,Bronx,LCL/LTD,BX18B,Off-Peak,43085.715,3.6613016,0.8291793,0.6778995
2025-01-01,Bronx,LCL/LTD,BX18B,Peak,36290.14,2.6088955,0.6994057,0.6490763
2025-01-01,Bronx,LCL/LTD,BX19,Off-Peak,538464.56,2.0655227,-0.074776076,0.7206777
2025-01-01,Bronx,LCL/LTD,BX19,Peak,331007.44,2.2824063,-0.515682,0.7409453
2025-01-01,Bronx,LCL/LTD,BX2,Off-Peak,354648.72,1.7701705,0.08322767,0.7371265
2025-01-01,Bronx,LCL/LTD,BX2,Peak,220064.33,1.9269887,-0.096215405,0.7383096
2025-01-01,Bronx,LCL/LTD,BX20,Off-Peak,3111.9253,4.0151873,1.6564554,0.68827844
2025-01-01,Bronx,LCL/LTD,BX20,Peak,14602.895,2.5145617,1.3267857,0.69387305
2025-01-01,Bronx,LCL/LTD,BX21,Off-Peak,233604.42,2.9002867,1.0583354,0.63995534
2025-01-01,Bronx,LCL/LTD,BX21,Peak,158358.98,2.8260174,0.7693612,0.65946645
2025-01-01,Bronx,LCL/LTD,BX22,Off-Peak,225548.44,1.5618178,0.18638839,0.79195565
2025-01-01,Bronx,LCL/LTD,BX22,Peak,165351.88,1.4463124,0.10266095,0.7965185
2025-01-01,Bronx,LCL/LTD,BX23,Off-Peak,57435.605,4.4731307,1.3165023,0.6275549
2025-01-01,Bronx,LCL/LTD,BX23,Peak,55691.297,1.9967446,0.8683278,0.7343869
2025-01-01,Bronx,LCL/LTD,BX24,Off-Peak,14689.308,2.4038935,0.7512451,0.77760327
2025-01-01,Bronx,LCL/LTD,BX24,Peak,8488.236,1.9977938,0.3070027,0.85188055
2025-01-01,Bronx,LCL/LTD,BX25,Off-Peak,61260.49,1.5442888,0.516383,0.7719344
2025-01-01,Bronx,LCL/LTD,BX25,Peak,44143.4,1.9552995,-0.11308585,0.744116
2025-01-01,Bronx,LCL/LTD,BX26,Off-Peak,65617.29,2.038622,0.8347965,0.7107185
2025-01-01,Bronx,LCL/LTD,BX26,Peak,44111.715,1.5841545,-0.02899157,0.77586526
2025-01-01,Bronx,LCL/LTD,BX27,Off-Peak,113681.55,1.6416616,1.3566018,0.7301199
2025-01-01,Bronx,LCL/LTD,BX27,Peak,84797.234,1.8133076,1.5071788,0.695245
2025-01-01,Bronx,LCL/LTD,BX28,Off-Peak,180894.81,2.389635,0.15965499,0.7477295
2025-01-01,Bronx,LCL/LTD,BX28,Peak,99993.16,2.4981802,-0.3449672,0.7401336
2025-01-01,Bronx,LCL/LTD,BX29,Off-Peak,18969.803,2.5297039,-0.6847911,0.87096107
2025-01-01,Bronx,LCL/LTD,BX29,Peak,12830.535,1.8337059,-0.604065,0.8525671
2025-01-01,Bronx,LCL/LTD,BX3,Off-Peak,276223.5,1.906514,-0.063797764,0.7621943
2025-01-01,Bronx,LCL/LTD,BX3,Peak,183072.19,2.0167363,-0.11037799,0.7610201
2025-01-01,Bronx,LCL/LTD,BX30,Off-Peak,115768,2.0520043,0.069974236,0.74628985
2025-01-01,Bronx,LCL/LTD,BX30,Peak,79336.65,1.5545534,-0.6531638,0.79457897
2025-01-01,Bronx,LCL/LTD,BX31,Off-Peak,157861.53,2.3594153,1.4476814,0.64045334
2025-01-01,Bronx,LCL/LTD,BX31,Peak,102470.22,2.61237,1.4207188,0.6266694
2025-01-01,Bronx,LCL/LTD,BX32,Off-Peak,114249.67,4.431741,1.860551,0.5568223
2025-01-01,Bronx,LCL/LTD,BX32,Peak,85082.836,5.5236325,1.997321,0.5161287
2025-01-01,Bronx,LCL/LTD,BX33,Off-Peak,36954.41,3.5326693,1.0548401,0.7193812
2025-01-01,Bronx,LCL/LTD,BX33,Peak,30001.639,3.6538868,0.35309565,0.67643046
2025-01-01,Bronx,LCL/LTD,BX34,Off-Peak,56913.65,3.3160114,1.0107917,0.7250263
2025-01-01,Bronx,LCL/LTD,BX34,Peak,37405.48,2.7890766,1.2880723,0.6871594
2025-01-01,Bronx,LCL/LTD,BX35,Off-Peak,296675.16,1.9122921,-1.3396716,0.8013958
2025-01-01,Bronx,LCL/LTD,BX35,Peak,190422.06,2.5951777,-1.4574798,0.7830259
2025-01-01,Bronx,LCL/LTD,BX36,Off-Peak,445040.3,2.2907665,0.7714861,0.693153
