Month,Borough,Monthly Miles,Monthly Road Call Count,Monthly MDBF
06/01/2025,Bronx,2091977,978,2139
06/01/2025,Brooklyn,2776380,709,3916
06/01/2025,Manhattan,1281985,514,2494
06/01/2025,Queens,4246399,822,5166
06/01/2025,Staten Island,2146532,362,5930
05/01/2025,Bronx,2177915,630,3457
05/01/2025,Brooklyn,2895085,610,4746
05/01/2025,Manhattan,1319773,397,3324
05/01/2025,Queens,4462908,593,7526
05/01/2025,Staten Island,2183408,236,9252
04/01/2025,Bronx,2200377,651,3380
04/01/2025,Brooklyn,2847039,529,5382
04/01/2025,Manhattan,1329456,348,3820
04/01/2025,Queens,4569079,578,7905
04/01/2025,Staten Island,2302448,152,15148
03/01/2025,Bronx,2204462,594,3711
03/01/2025,Brooklyn,2920214,505,5783
03/01/2025,Manhattan,1345690,341,3946
03/01/2025,Queens,4596332,504,9120
03/01/2025,Staten Island,2298241,150,15322
02/01/2025,Bronx,1946316,544,3578
02/01/2025,Brooklyn,2629987,474,5548
02/01/2025,Manhattan,1169846,317,3690
02/01/2025,Queens,4120047,466,8841
02/01/2025,Staten Island,2089393,119,17558
01/01/2025,Bronx,2188973,596,3673
01/01/2025,Brooklyn,2914411,557,5232
01/01/2025,Manhattan,1333063,352,3787
01/01/2025,Queens,4483782,524,8557
01/01/2025,Staten Island,2331048,138,16892
12/01/2024,Bronx,2098973,690,3042
12/01/2024,Brooklyn,2832941,521,5438
12/01/2024,Manhattan,1265415,332,3811
12/01/2024,Queens,4151296,512,8108
12/01/2024,Staten Island,2170588,132,16444
11/01/2024,Bronx,2077306,576,3606
11/01/2024,Brooklyn,2787671,472,5906
11/01/2024,Manhattan,1257470,285,4412
11/01/2024,Queens,4076991,471,8656
11/01/2024,Staten Island,2118765,95,22303
10/01/2024,Bronx,2244155,566,3965
10/01/2024,Brooklyn,2972808,471,6312
10/01/2024,Manhattan,1341349,296,4532
10/01/2024,Queens,4441721,571,7779
10/01/2024,Staten Island,2341866,127,18440
09/01/2024,Bronx,2075320,573,3622
09/01/2024,Brooklyn,2784947,473,5888
09/01/2024,Manhattan,1225680,311,3941
09/01/2024,Queens,4079184,492,8291
09/01/2024,Staten Island,2060368,134,15376
08/01/2024,Bronx,2178272,690,3157
08/01/2024,Brooklyn,2942070,602,4887
08/01/2024,Manhattan,1263632,366,3453
08/01/2024,Queens,4172770,618,6752
08/01/2024,Staten Island,2181867,190,11484
07/01/2024,Bronx,2169104,717,3025
07/01/2024,Brooklyn,2947530,545,5408
07/01/2024,Manhattan,1280365,409,3130
07/01/2024,Queens,4187893,636,6585
07/01/2024,Staten Island,2218348,175,12676
06/01/2024,Bronx,2055774,652,3153
06/01/2024,Brooklyn,2792517,481,5806
06/01/2024,Manhattan,1233933,371,3326
06/01/2024,Queens,4073568,584,6975
06/01/2024,Staten Island,2110469,158,13357
