bus_route,ridership
B1,2136905
B100,594842
B101,0
B103,1240048
B106,2502
B11,1191666
B111,329
B12,989580
B13,703371
B14,408624
B15,1291052
B16,671834
B17,833873
B2,264462
B20,536157
B24,323853
B25,716729
B26,1002002
B3,1403067
B31,325438
B32,147529
B35,2231716
B36,1289447
B37,282529
B38,2003685
B39,25672
B4,781637
B41,2347842
B42,201850
B43,939548
B44,1435402
B44+,1258063
B45,455021
B46,1509578
B46+,1376091
B47,774378
B48,385777
B49,1159638
B52,1111192
B54,857179
B57,886534
B6,3117562
B60,748559
B61,1103141
B62,893951
B63,1465222
B64,672179
B65,373755
B67,556309
B68,1546801
B69,506016
B7,465845
B70,857846
B74,332563
B8,1855799
B82,1811631
B82+,1122366
B83,513137
B84,41519
B9,1462368
B90,0
B91,0
B91A,0
B92,0
B93,111
B94,0
B96,0
B98,0
B98V,0
B99,472
BM1,150178
BM2,126043
BM3,109890
BM4,77177
BM5,115170
BX1,1103829
BX10,956209
BX11,957047
BX12,776683
BX12+,2295480
BX13,963652
BX15,762551
BX16,502385
BX17,533427
BX18,0
BX18A,120540
BX18B,151333
BX19,1773659
BX2,1166405
BX20,53804
BX21,801576
BX22,831322
BX23,389165
BX24,71061
BX25,254702
BX26,270755
BX27,403873
BX28,623089
BX29,142889
BX3,1075253
BX30,374682
BX31,549407
BX32,363001
BX33,162033
BX34,279336
BX35,968647
BX36,1645373
BX38,431169
BX39,840633
BX4,404567
BX40,643702
BX41,483842
BX41+,705179
BX42,620469
BX46,39178
BX4A,322033
BX5,593537
BX6,767063
BX6+,885350
BX7,1457783
BX8,455184
BX9,1867059
BX90,737
BX92,0
BX95,117
BX99,0
BXM1,223590
BXM10,275518
BXM11,182774
BXM18,34887
BXM2,124449
BXM3,127581
BXM4,75665
BXM6,126396
BXM7,421425
BXM8,276381
BXM9,302972
D90,0
D99,0
F1,0
J90,1617
J99,0
L90,0
L91,0
L92,2166
M1,1494763
M10,651664
M100,971941
M101,2508358
M102,1546828
M103,1411447
M104,1152284
M106,255937
M11,1640600
M116,909461
M12,213576
M125,886984
M14A,0
M14A+,993832
M14D,0
M14D+,1903320
M15,2679859
M15+,3944032
M2,1238069
M20,274146
M21,192549
M22,254569
M23+,1393829
M3,1721817
M31,1481623
M34+,859580
M34A+,855576
M35,53508
M4,2089702
M42,1446706
M5,1008418
M50,352620
M55,319976
M57,1004353
M60+,1306411
M66,973830
M7,1545951
M72,593488
M79+,1403244
M8,179667
M86+,2257053
M9,690568
M90,37
M96,1765210
M98,170444
M99,0
Q06,1021453
Q07,409532
Q08,1076373
Q09,429657
Q1,484114
Q10,2372544
Q100,538568
Q101,499490
Q102,360839
Q103,217647
Q104,328896
Q107,0
Q108,0
Q109,859
Q11,456832
Q110,674328
Q111,1164427
Q112,524203
Q113,406537
Q114,667140
Q115,94068
Q12,1310682
Q121,24
Q13,951710
Q14,162954
Q15,460787
Q15A,346864
Q16,536515
Q17,1952145
Q18,1225999
Q19,547387
Q2,606817
Q20,304427
Q20A,939538
Q20B,560306
Q21,355239
Q22,456716
Q23,2155296
Q24,684905
Q25,2810916
Q26,436422
Q27,2751518
Q28,1159514
Q29,789562
Q3,868251
Q30,961393
Q31,631621
Q32,1388617
Q33,1000699
Q34,573520
Q35,433549
Q36,643776
Q37,867211
Q38,926136
Q39,664711
Q4,879035
Q40,465819
Q41,679363
Q42,114195
Q43,1439784
Q44+,2462852
Q45,126157
Q46,2096486
Q47,1222110
Q48,419608
Q49,1263464
Q5,1118962
Q50,487382
Q51,26890
Q52+,566898
Q53+,1625517
Q54,1346056
Q55,897287
Q56,712447
Q58,3749947
Q59,993561
Q60,1988758
Q61,59562
Q63,172917
Q64,1046822
Q65,2659281
Q66,2062838
Q67,336891
Q69,1416348
Q70+,15602
Q72,924261
Q74,57672
Q75,40040
Q76,619021
Q77,521379
Q82,38552
Q83,943602
Q84,461886
Q85,975046
Q86,55592
Q87,54368
Q88,1342245
Q89,55064
Q90,28619
Q92,28
Q93,85
Q94,0
Q95,0
Q96,15
Q97,1387
Q98,180110
Q98V,0
QM1,32868
QM10,27522
QM11,60265
QM12,33629
QM15,260466
QM16,66471
QM17,74602
QM18,22825
QM2,153198
QM20,118175
QM21,21059
QM24,76200
QM25,56425
QM3,11462
QM31,20630
QM32,41007
QM34,74289
QM35,46219
QM36,16979
QM4,70025
QM40,20024
QM42,22671
QM44,18357
QM5,187457
QM6,100225
QM63,9332
QM64,4589
QM65,2470
QM68,7369
QM7,69184
QM8,53410
S40,347068
S42,42949
S44,485082
S46,443854
S48,407910
S51,280087
S52,242051
S53,908504
S54,59014
S55,20199
S56,34169
S57,132439
S59,276046
S61,331378
S62,325664
S66,106311
S74,418348
S76,268105
S78,517497
S79+,1402362
S81,14826
S84,15658
S86,8621
S89,41033
S90,63872
S91,65992
S92,58058
S93,396392
S94,63498
S96,60981
S98,76991
SIM1,282513
SIM10,257285
SIM11,112489
SIM15,129293
SIM1C,643006
SIM2,133222
SIM22,112008
SIM23,55051
SIM24,49409
SIM25,118736
SIM26,132361
SIM3,108178
SIM30,97901
SIM31,83949
SIM32,55269
SIM33,65547
SIM33C,242342
SIM34,135186
SIM35,67232
SIM3C,191658
SIM4,158003
SIM4C,280798
SIM4X,18705
SIM5,97557
SIM5X,0
SIM6,195241
SIM6X,0
SIM7,92424
SIM8,229542
SIM8X,29657
SIM9,54440
X1,0
X10,0
X10B,0
X11,0
X12,0
X14,0
X15,0
X17,0
X17A,0
X17J,0
X19,0
X2,0
X21,0
X22,0
X22A,0
X27,286333
X28,282744
X3,0
X30,0
X31,0
X37,132393
X38,115071
X4,0
X42,0
X5,0
X63,52155
X64,23886
X68,39236
X7,0
X8,0
X9,0
