month,borough,day_type,trip_type,route_id,period,actual_number_of_buses,scheduled_number_of_buses,service_delivered
2015-01-01,Bronx,1,LCL/LTD,BX1,Peak,814,843,0.965599051
2015-01-01,Bronx,2,LCL/LTD,BX1,Peak,162,179,0.905027933
2015-01-01,Bronx,1,LCL/LTD,BX10,Peak,698,759,0.919631094
2015-01-01,Bronx,2,LCL/LTD,BX10,Peak,171,191,0.895287958
2015-01-01,Bronx,1,LCL/LTD,BX11,Peak,990,1041,0.951008646
2015-01-01,Bronx,2,LCL/LTD,BX11,Peak,232,240,0.966666667
2015-01-01,Bronx,1,LCL/LTD,BX12,Peak,636,689,0.923076923
2015-01-01,Bronx,2,LCL/LTD,BX12,Peak,204,228,0.894736842
2015-01-01,Bronx,1,SBS,BX12+,Peak,1177,1244,0.946141479
2015-01-01,Bronx,2,SBS,BX12+,Peak,335,381,0.879265092
2015-01-01,Bronx,1,LCL/LTD,BX13,Peak,1110,1178,0.942275042
2015-01-01,Bronx,2,LCL/LTD,BX13,Peak,271,285,0.950877193
2015-01-01,Bronx,1,LCL/LTD,BX15,Peak,1276,1469,0.868618108
2015-01-01,Bronx,2,LCL/LTD,BX15,Peak,360,388,0.927835052
2015-01-01,Bronx,1,LCL/LTD,BX16,Peak,615,648,0.949074074
2015-01-01,Bronx,2,LCL/LTD,BX16,Peak,137,140,0.978571429
2015-01-01,Bronx,1,LCL/LTD,BX17,Peak,731,761,0.960578187
2015-01-01,Bronx,2,LCL/LTD,BX17,Peak,202,212,0.952830189
2015-01-01,Bronx,1,LCL/LTD,BX18,Peak,343,360,0.952777778
2015-01-01,Bronx,2,LCL/LTD,BX18,Peak,75,88,0.852272727
2015-01-01,Bronx,1,LCL/LTD,BX19,Peak,793,819,0.968253968
2015-01-01,Bronx,2,LCL/LTD,BX19,Peak,259,290,0.893103448
2015-01-01,Bronx,1,LCL/LTD,BX2,Peak,682,700,0.974285714
2015-01-01,Bronx,2,LCL/LTD,BX2,Peak,174,187,0.930481283
2015-01-01,Bronx,1,LCL/LTD,BX20,Peak,257,270,0.951851852
2015-01-01,Bronx,2,LCL/LTD,BX20,Peak,15,15,1
2015-01-01,Bronx,1,LCL/LTD,BX21,Peak,768,817,0.94002448
2015-01-01,Bronx,2,LCL/LTD,BX21,Peak,190,204,0.931372549
2015-01-01,Bronx,1,LCL/LTD,BX22,Peak,771,818,0.942542787
2015-01-01,Bronx,2,LCL/LTD,BX22,Peak,221,239,0.924686192
2015-01-01,Bronx,1,LCL/LTD,BX23,Peak,777,814,0.954545455
2015-01-01,Bronx,2,LCL/LTD,BX23,Peak,85,104,0.817307692
2015-01-01,Bronx,1,LCL/LTD,BX24,Peak,178,186,0.956989247
2015-01-01,Bronx,2,LCL/LTD,BX24,Peak,84,88,0.954545455
2015-01-01,Bronx,1,LCL/LTD,BX26,Peak,667,698,0.955587393
2015-01-01,Bronx,2,LCL/LTD,BX26,Peak,158,165,0.957575758
