month,borough,day_type,trip_type,route_id,period,actual_number_of_buses,scheduled_number_of_buses,service_delivered
2020-01-01,Bronx,1,LCL/LTD,BX1,Peak,849,945,0.8984127
2020-01-01,Bronx,2,LCL/LTD,BX1,Peak,197,218,0.9036697
2020-01-01,Bronx,1,LCL/LTD,BX10,Peak,832,882,0.9433107
2020-01-01,Bronx,2,LCL/LTD,BX10,Peak,215,220,0.97727275
2020-01-01,Bronx,1,LCL/LTD,BX11,Peak,1068,1134,0.9417989
2020-01-01,Bronx,2,LCL/LTD,BX11,Peak,279,289,0.9653979
2020-01-01,Bronx,1,LCL/LTD,BX12,Peak,681,693,0.98268396
2020-01-01,Bronx,2,LCL/LTD,BX12,Peak,247,248,0.99596775
2020-01-01,Bronx,1,SBS,BX12+,Peak,1311,1365,0.96043956
2020-01-01,Bronx,2,SBS,BX12+,Peak,404,438,0.9223744
2020-01-01,Bronx,1,LCL/LTD,BX13,Peak,1360,1449,0.9385783
2020-01-01,Bronx,2,LCL/LTD,BX13,Peak,351,355,0.9887324
2020-01-01,Bronx,1,LCL/LTD,BX15,Peak,1497,1650,0.90727276
2020-01-01,Bronx,2,LCL/LTD,BX15,Peak,392,398,0.9849246
2020-01-01,Bronx,1,LCL/LTD,BX16,Peak,715,798,0.89598995
2020-01-01,Bronx,2,LCL/LTD,BX16,Peak,150,160,0.9375
2020-01-01,Bronx,1,LCL/LTD,BX17,Peak,815,861,0.94657373
2020-01-01,Bronx,2,LCL/LTD,BX17,Peak,234,238,0.9831933
2020-01-01,Bronx,1,LCL/LTD,BX18,Peak,377,420,0.89761907
2020-01-01,Bronx,2,LCL/LTD,BX18,Peak,93,100,0.93
2020-01-01,Bronx,1,LCL/LTD,BX19,Peak,893,924,0.9664502
2020-01-01,Bronx,2,LCL/LTD,BX19,Peak,312,315,0.9904762
2020-01-01,Bronx,1,LCL/LTD,BX2,Peak,800,798,1.0025063
2020-01-01,Bronx,2,LCL/LTD,BX2,Peak,210,218,0.96330273
2020-01-01,Bronx,1,LCL/LTD,BX20,Peak,334,357,0.93557423
2020-01-01,Bronx,2,LCL/LTD,BX20,Peak,19,17,1.117647
2020-01-01,Bronx,1,LCL/LTD,BX21,Peak,895,904,0.99004424
2020-01-01,Bronx,2,LCL/LTD,BX21,Peak,228,229,0.9956332
2020-01-01,Bronx,1,LCL/LTD,BX22,Peak,854,882,0.96825397
2020-01-01,Bronx,2,LCL/LTD,BX22,Peak,236,247,0.9554656
2020-01-01,Bronx,1,LCL/LTD,BX23,Peak,877,945,0.92804235
2020-01-01,Bronx,2,LCL/LTD,BX23,Peak,131,135,0.97037035
2020-01-01,Bronx,1,LCL/LTD,BX24,Peak,208,210,0.9904762
2020-01-01,Bronx,2,LCL/LTD,BX24,Peak,99,100,0.99
2020-01-01,Bronx,1,LCL/LTD,BX26,Peak,736,777,0.94723296
2020-01-01,Bronx,2,LCL/LTD,BX26,Peak,185,202,0.9158416
2020-01-01,Bronx,1,LCL/LTD,BX27,Peak,1064,1134,0.9382716
2020-01-01,Bronx,2,LCL/LTD,BX27,Peak,242,241,1.0041494
2020-01-01,Bronx,1,LCL/LTD,BX28,Peak,551,567,0.9717813
2020-01-01,Bronx,2,LCL/LTD,BX28,Peak,167,165,1.0121212
2020-01-01,Bronx,1,LCL/LTD,BX29,Peak,413,420,0.98333335
2020-01-01,Bronx,2,LCL/LTD,BX29,Peak,134,136,0.9852941
2020-01-01,Bronx,1,LCL/LTD,BX3,Peak,940,966,0.97308487
2020-01-01,Bronx,2,LCL/LTD,BX3,Peak,345,362,0.9530387
2020-01-01,Bronx,1,LCL/LTD,BX30,Peak,789,840,0.9392857
2020-01-01,Bronx,2,LCL/LTD,BX30,Peak,192,199,0.96482414
2020-01-01,Bronx,1,LCL/LTD,BX31,Peak,707,714,0.99019605
2020-01-01,Bronx,2,LCL/LTD,BX31,Peak,168,166,1.0120482
2020-01-01,Bronx,1,LCL/LTD,BX32,Peak,598,630,0.94920635
2020-01-01,Bronx,2,LCL/LTD,BX32,Peak,105,114,0.92105263
2020-01-01,Bronx,1,LCL/LTD,BX33,Peak,398,399,0.99749374
2020-01-01,Bronx,2,LCL/LTD,BX33,Peak,101,103,0.98058254
2020-01-01,Bronx,1,LCL/LTD,BX34,Peak,378,462,0.8181818
2020-01-01,Bronx,2,LCL/LTD,BX34,Peak,135,139,0.971223
2020-01-01,Bronx,1,LCL/LTD,BX35,Peak,919,903,1.0177187
2020-01-01,Bronx,2,LCL/LTD,BX35,Peak,278,283,0.98233217
2020-01-01,Bronx,1,LCL/LTD,BX36,Peak,1420,1449,0.9799862
2020-01-01,Bronx,2,LCL/LTD,BX36,Peak,353,354,0.99717516
2020-01-01,Bronx,1,LCL/LTD,BX38,Peak,455,504,0.9027778
2020-01-01,Bronx,2,LCL/LTD,BX38,Peak,127,148,0.8581081
2020-01-01,Bronx,1,LCL/LTD,BX39,Peak,814,864,0.9421296
2020-01-01,Bronx,2,LCL/LTD,BX39,Peak,255,250,1.02
2020-01-01,Bronx,1,LCL/LTD,BX4,Peak,360,378,0.95238096
2020-01-01,Bronx,2,LCL/LTD,BX4,Peak,123,135,0.9111111
2020-01-01,Bronx,1,LCL/LTD,BX40,Peak,436,441,0.9886621
2020-01-01,Bronx,2,LCL/LTD,BX40,Peak,145,147,0.9863946
2020-01-01,Bronx,1,LCL/LTD,BX41,Peak,525,567,0.9259259
2020-01-01,Bronx,2,LCL/LTD,BX41,Peak,236,242,0.9752066
2020-01-01,Bronx,1,SBS,BX41+,Peak,749,840,0.89166665
2020-01-01,Bronx,2,SBS,BX41+,Peak,235,258,0.91085273
2020-01-01,Bronx,1,LCL/LTD,BX42,Peak,432,420,1.0285715
2020-01-01,Bronx,2,LCL/LTD,BX42,Peak,134,150,0.8933333
2020-01-01,Bronx,1,LCL/LTD,BX46,Peak,215,210,1.0238096
2020-01-01,Bronx,2,LCL/LTD,BX46,Peak,73,73,1
2020-01-01,Bronx,1,LCL/LTD,BX4A,Peak,374,378,0.98941797
2020-01-01,Bronx,2,LCL/LTD,BX4A,Peak,116,121,0.9586777
2020-01-01,Bronx,1,LCL/LTD,BX5,Peak,1053,1134,0.9285714
2020-01-01,Bronx,2,LCL/LTD,BX5,Peak,252,263,0.9581749
2020-01-01,Bronx,1,LCL/LTD,BX6,Peak,720,714,1.0084034
2020-01-01,Bronx,2,LCL/LTD,BX6,Peak,253,253,1
2020-01-01,Bronx,1,SBS,BX6+,Peak,689,693,0.994228
2020-01-01,Bronx,2,SBS,BX6+,Peak,262,263,0.9961977
2020-01-01,Bronx,1,LCL/LTD,BX7,Peak,869,924,0.9404762
2020-01-01,Bronx,2,LCL/LTD,BX7,Peak,272,278,0.9784173
2020-01-01,Bronx,1,LCL/LTD,BX8,Peak,566,588,0.96258503
2020-01-01,Bronx,2,LCL/LTD,BX8,Peak,115,118,0.9745763
2020-01-01,Bronx,1,LCL/LTD,BX9,Peak,1170,1197,0.97744364
2020-01-01,Bronx,2,LCL/LTD,BX9,Peak,367,361,1.0166205
2020-01-01,Bronx,1,EXP,BXM1,Peak,550,567,0.9700176
2020-01-01,Bronx,2,EXP,BXM1,Peak,65,60,1.0833334
2020-01-01,Bronx,1,EXP,BXM10,Peak,534,525,1.0171429
2020-01-01,Bronx,2,EXP,BXM10,Peak,76,75,1.0133333
2020-01-01,Bronx,1,EXP,BXM11,Peak,541,546,0.99084246
2020-01-01,Bronx,2,EXP,BXM11,Peak,71,70,1.0142857
2020-01-01,Bronx,1,EXP,BXM18,Peak,229,210,1.0904762
2020-01-01,Bronx,2,EXP,BXM18,Peak,5,5,1
2020-01-01,Bronx,1,EXP,BXM2,Peak,328,315,1.0412699
2020-01-01,Bronx,2,EXP,BXM2,Peak,69,71,0.97183096
2020-01-01,Bronx,1,EXP,BXM3,Peak,366,357,1.0252101
2020-01-01,Bronx,2,EXP,BXM3,Peak,41,40,1.025
2020-01-01,Bronx,1,EXP,BXM4,Peak,190,189,1.005291
2020-01-01,Bronx,2,EXP,BXM4,Peak,39,40,0.975
2020-01-01,Bronx,1,EXP,BXM6,Peak,307,294,1.0442177
2020-01-01,Bronx,2,EXP,BXM6,Peak,45,45,1
2020-01-01,Bronx,1,EXP,BXM7,Peak,939,945,0.9936508
2020-01-01,Bronx,2,EXP,BXM7,Peak,116,114,1.0175439
2020-01-01,Bronx,1,EXP,BXM8,Peak,707,714,0.99019605
2020-01-01,Bronx,2,EXP,BXM8,Peak,66,65,1.0153847
2020-01-01,Bronx,1,EXP,BXM9,Peak,767,735,1.0435374
2020-01-01,Bronx,2,EXP,BXM9,Peak,74,80,0.925
2020-01-01,Brooklyn,1,LCL/LTD,B1,Peak,1375,1428,0.96288514
2020-01-01,Brooklyn,2,LCL/LTD,B1,Peak,288,293,0.98293513
2020-01-01,Brooklyn,1,LCL/LTD,B100,Peak,1114,1134,0.98236334
2020-01-01,Brooklyn,2,LCL/LTD,B100,Peak,139,136,1.0220588
2020-01-01,Brooklyn,1,LCL/LTD,B103,Peak,1732,1785,0.9703081
2020-01-01,Brooklyn,2,LCL/LTD,B103,Peak,311,321,0.96884733
2020-01-01,Brooklyn,1,LCL/LTD,B11,Peak,766,819,0.93528694
2020-01-01,Brooklyn,2,LCL/LTD,B11,Peak,215,226,0.95132744
2020-01-01,Brooklyn,1,LCL/LTD,B12,Peak,899,966,0.93064183
2020-01-01,Brooklyn,2,LCL/LTD,B12,Peak,307,320,0.959375
2020-01-01,Brooklyn,1,LCL/LTD,B13,Peak,550,567,0.9700176
2020-01-01,Brooklyn,2,LCL/LTD,B13,Peak,127,125,1.016
2020-01-01,Brooklyn,1,LCL/LTD,B14,Peak,530,546,0.970696
2020-01-01,Brooklyn,2,LCL/LTD,B14,Peak,164,167,0.98203593
2020-01-01,Brooklyn,1,LCL/LTD,B15,Peak,837,903,0.9269103
2020-01-01,Brooklyn,2,LCL/LTD,B15,Peak,336,355,0.94647884
2020-01-01,Brooklyn,1,LCL/LTD,B16,Peak,707,714,0.99019605
2020-01-01,Brooklyn,2,LCL/LTD,B16,Peak,144,150,0.96
2020-01-01,Brooklyn,1,LCL/LTD,B17,Peak,1095,1197,0.914787
2020-01-01,Brooklyn,2,LCL/LTD,B17,Peak,349,368,0.94836956
2020-01-01,Brooklyn,1,LCL/LTD,B2,Peak,471,504,0.9345238
2020-01-01,Brooklyn,2,LCL/LTD,B2,Peak,155,159,0.9748428
2020-01-01,Brooklyn,1,LCL/LTD,B20,Peak,685,693,0.988456
2020-01-01,Brooklyn,2,LCL/LTD,B20,Peak,159,168,0.9464286
2020-01-01,Brooklyn,1,LCL/LTD,B24,Peak,339,336,1.0089285
2020-01-01,Brooklyn,2,LCL/LTD,B24,Peak,105,106,0.990566
2020-01-01,Brooklyn,1,LCL/LTD,B25,Peak,688,693,0.992785
2020-01-01,Brooklyn,2,LCL/LTD,B25,Peak,240,240,1
2020-01-01,Brooklyn,1,LCL/LTD,B26,Peak,779,798,0.97619045
2020-01-01,Brooklyn,2,LCL/LTD,B26,Peak,257,273,0.94139194
2020-01-01,Brooklyn,1,LCL/LTD,B3,Peak,882,903,0.9767442
2020-01-01,Brooklyn,2,LCL/LTD,B3,Peak,326,332,0.9819277
2020-01-01,Brooklyn,1,LCL/LTD,B31,Peak,580,588,0.9863946
2020-01-01,Brooklyn,2,LCL/LTD,B31,Peak,156,163,0.9570552
2020-01-01,Brooklyn,1,LCL/LTD,B32,Peak,225,231,0.97402596
2020-01-01,Brooklyn,2,LCL/LTD,B32,Peak,96,101,0.95049506
2020-01-01,Brooklyn,1,LCL/LTD,B35,Peak,1380,1386,0.995671
2020-01-01,Brooklyn,2,LCL/LTD,B35,Peak,436,444,0.981982
2020-01-01,Brooklyn,1,LCL/LTD,B36,Peak,1060,1071,0.9897292
2020-01-01,Brooklyn,2,LCL/LTD,B36,Peak,226,232,0.9741379
2020-01-01,Brooklyn,1,LCL/LTD,B37,Peak,310,336,0.92261904
2020-01-01,Brooklyn,2,LCL/LTD,B37,Peak,104,106,0.9811321
2020-01-01,Brooklyn,1,LCL/LTD,B38,Peak,1327,1365,0.9721612
2020-01-01,Brooklyn,2,LCL/LTD,B38,Peak,334,347,0.96253604
2020-01-01,Brooklyn,1,LCL/LTD,B39,Peak,179,210,0.85238093
2020-01-01,Brooklyn,2,LCL/LTD,B39,Peak,90,100,0.9
2020-01-01,Brooklyn,1,LCL/LTD,B4,Peak,418,420,0.99523807
2020-01-01,Brooklyn,2,LCL/LTD,B4,Peak,136,136,1
2020-01-01,Brooklyn,1,LCL/LTD,B41,Peak,1727,1827,0.9452655
2020-01-01,Brooklyn,2,LCL/LTD,B41,Peak,594,616,0.96428573
2020-01-01,Brooklyn,1,LCL/LTD,B42,Peak,1058,1029,1.0281827
2020-01-01,Brooklyn,2,LCL/LTD,B42,Peak,233,233,1
2020-01-01,Brooklyn,1,LCL/LTD,B43,Peak,628,651,0.96466976
2020-01-01,Brooklyn,2,LCL/LTD,B43,Peak,179,182,0.98351645
2020-01-01,Brooklyn,1,LCL/LTD,B44,Peak,750,735,1.0204082
2020-01-01,Brooklyn,2,LCL/LTD,B44,Peak,291,301,0.9667774
2020-01-01,Brooklyn,1,SBS,B44+,Peak,979,1050,0.932381
2020-01-01,Brooklyn,2,SBS,B44+,Peak,273,296,0.9222973
2020-01-01,Brooklyn,1,LCL/LTD,B45,Peak,518,525,0.9866667
2020-01-01,Brooklyn,2,LCL/LTD,B45,Peak,176,170,1.0352942
2020-01-01,Brooklyn,1,LCL/LTD,B46,Peak,1158,1281,0.90398127
2020-01-01,Brooklyn,2,LCL/LTD,B46,Peak,400,402,0.99502486
2020-01-01,Brooklyn,1,SBS,B46+,Peak,1738,1830,0.94972676
2020-01-01,Brooklyn,2,SBS,B46+,Peak,384,411,0.93430656
2020-01-01,Brooklyn,1,LCL/LTD,B47,Peak,654,672,0.97321427
2020-01-01,Brooklyn,2,LCL/LTD,B47,Peak,190,196,0.96938777
2020-01-01,Brooklyn,1,LCL/LTD,B48,Peak,376,399,0.9423559
2020-01-01,Brooklyn,2,LCL/LTD,B48,Peak,136,144,0.9444444
2020-01-01,Brooklyn,1,LCL/LTD,B49,Peak,805,819,0.982906
2020-01-01,Brooklyn,2,LCL/LTD,B49,Peak,192,185,1.0378379
2020-01-01,Brooklyn,1,LCL/LTD,B52,Peak,845,861,0.98141694
2020-01-01,Brooklyn,2,LCL/LTD,B52,Peak,268,275,0.9745455
2020-01-01,Brooklyn,1,LCL/LTD,B54,Peak,643,693,0.92784995
2020-01-01,Brooklyn,2,LCL/LTD,B54,Peak,194,194,1
2020-01-01,Brooklyn,1,LCL/LTD,B57,Peak,442,462,0.95671
2020-01-01,Brooklyn,2,LCL/LTD,B57,Peak,162,169,0.9585799
2020-01-01,Brooklyn,1,LCL/LTD,B6,Peak,1926,1995,0.9654135
2020-01-01,Brooklyn,2,LCL/LTD,B6,Peak,484,496,0.9758065
2020-01-01,Brooklyn,1,LCL/LTD,B60,Peak,676,693,0.975469
2020-01-01,Brooklyn,2,LCL/LTD,B60,Peak,170,167,1.0179641
2020-01-01,Brooklyn,1,LCL/LTD,B61,Peak,656,672,0.97619045
2020-01-01,Brooklyn,2,LCL/LTD,B61,Peak,206,215,0.95813954
2020-01-01,Brooklyn,1,LCL/LTD,B62,Peak,576,567,1.0158731
2020-01-01,Brooklyn,2,LCL/LTD,B62,Peak,185,199,0.9296482
2020-01-01,Brooklyn,1,LCL/LTD,B63,Peak,648,672,0.96428573
2020-01-01,Brooklyn,2,LCL/LTD,B63,Peak,230,230,1
2020-01-01,Brooklyn,1,LCL/LTD,B64,Peak,471,483,0.9751553
2020-01-01,Brooklyn,2,LCL/LTD,B64,Peak,189,196,0.96428573
2020-01-01,Brooklyn,1,LCL/LTD,B65,Peak,468,483,0.9689441
2020-01-01,Brooklyn,2,LCL/LTD,B65,Peak,236,249,0.94779116
2020-01-01,Brooklyn,1,LCL/LTD,B67,Peak,495,504,0.98214287
2020-01-01,Brooklyn,2,LCL/LTD,B67,Peak,113,114,0.99122804
2020-01-01,Brooklyn,1,LCL/LTD,B68,Peak,747,756,0.9880952
2020-01-01,Brooklyn,2,LCL/LTD,B68,Peak,293,291,1.0068729
2020-01-01,Brooklyn,1,LCL/LTD,B69,Peak,444,441,1.0068027
2020-01-01,Brooklyn,2,LCL/LTD,B69,Peak,100,102,0.98039216
2020-01-01,Brooklyn,1,LCL/LTD,B7,Peak,484,504,0.96031743
2020-01-01,Brooklyn,2,LCL/LTD,B7,Peak,140,137,1.0218978
2020-01-01,Brooklyn,1,LCL/LTD,B70,Peak,540,546,0.989011
2020-01-01,Brooklyn,2,LCL/LTD,B70,Peak,133,146,0.9109589
2020-01-01,Brooklyn,1,LCL/LTD,B74,Peak,667,756,0.8822751
2020-01-01,Brooklyn,2,LCL/LTD,B74,Peak,177,212,0.8349057
2020-01-01,Brooklyn,1,LCL/LTD,B8,Peak,966,1008,0.9583333
2020-01-01,Brooklyn,2,LCL/LTD,B8,Peak,261,260,1.0038462
2020-01-01,Brooklyn,1,LCL/LTD,B82,Peak,647,651,0.9938556
2020-01-01,Brooklyn,2,LCL/LTD,B82,Peak,305,312,0.9775641
2020-01-01,Brooklyn,1,SBS,B82+,Peak,697,714,0.97619045
2020-01-01,Brooklyn,2,SBS,B82+,Peak,34,34,1
2020-01-01,Brooklyn,1,LCL/LTD,B83,Peak,773,840,0.9202381
2020-01-01,Brooklyn,2,LCL/LTD,B83,Peak,222,230,0.9652174
2020-01-01,Brooklyn,1,LCL/LTD,B84,Peak,206,210,0.9809524
2020-01-01,Brooklyn,2,LCL/LTD,B84,Peak,53,55,0.96363634
2020-01-01,Brooklyn,1,LCL/LTD,B9,Peak,785,798,0.9837093
2020-01-01,Brooklyn,2,LCL/LTD,B9,Peak,263,274,0.959854
2020-01-01,Brooklyn,1,EXP,BM1,Peak,599,609,0.98357964
2020-01-01,Brooklyn,2,EXP,BM1,Peak,22,25,0.88
2020-01-01,Brooklyn,1,EXP,BM2,Peak,462,483,0.95652175
2020-01-01,Brooklyn,2,EXP,BM2,Peak,24,21,1.1428572
2020-01-01,Brooklyn,1,EXP,BM3,Peak,416,441,0.9433107
2020-01-01,Brooklyn,2,EXP,BM3,Peak,16,17,0.9411765
2020-01-01,Brooklyn,1,EXP,BM4,Peak,405,399,1.0150375
2020-01-01,Brooklyn,2,EXP,BM4,Peak,23,25,0.92
2020-01-01,Brooklyn,1,EXP,BM5,Peak,257,273,0.94139194
2020-01-01,Brooklyn,2,EXP,BM5,Peak,25,25,1
2020-01-01,Brooklyn,1,EXP,X27,Peak,704,714,0.9859944
2020-01-01,Brooklyn,2,EXP,X27,Peak,115,114,1.0087719
2020-01-01,Brooklyn,1,EXP,X28,Peak,680,672,1.0119047
2020-01-01,Brooklyn,2,EXP,X28,Peak,104,104,1
2020-01-01,Brooklyn,1,EXP,X37,Peak,584,588,0.99319726
2020-01-01,Brooklyn,2,EXP,X37,Peak,28,28,1
2020-01-01,Brooklyn,1,EXP,X38,Peak,525,525,1
2020-01-01,Brooklyn,2,EXP,X38,Peak,25,25,1
2020-01-01,Manhattan,1,LCL/LTD,M1,Peak,930,1008,0.92261904
2020-01-01,Manhattan,2,LCL/LTD,M1,Peak,233,253,0.9209486
2020-01-01,Manhattan,1,LCL/LTD,M10,Peak,603,609,0.99014777
2020-01-01,Manhattan,2,LCL/LTD,M10,Peak,234,230,1.0173913
2020-01-01,Manhattan,1,LCL/LTD,M100,Peak,789,840,0.9392857
2020-01-01,Manhattan,2,LCL/LTD,M100,Peak,239,241,0.99170125
2020-01-01,Manhattan,1,LCL/LTD,M101,Peak,886,966,0.9171843
2020-01-01,Manhattan,2,LCL/LTD,M101,Peak,295,320,0.921875
2020-01-01,Manhattan,1,LCL/LTD,M102,Peak,579,651,0.8894009
2020-01-01,Manhattan,2,LCL/LTD,M102,Peak,210,232,0.9051724
2020-01-01,Manhattan,1,LCL/LTD,M103,Peak,489,546,0.8956044
2020-01-01,Manhattan,2,LCL/LTD,M103,Peak,202,227,0.88986784
2020-01-01,Manhattan,1,LCL/LTD,M104,Peak,584,588,0.99319726
