month,borough,day_type,trip_type,route_id,period,actual_number_of_buses,scheduled_number_of_buses,service_delivered
2025-01-01,Bronx,1,LCL/LTD,BX1,Peak,808,924,0.87445885
2025-01-01,Bronx,2,LCL/LTD,BX1,Peak,108,118,0.91525424
2025-01-01,Bronx,1,LCL/LTD,BX10,Peak,890,903,0.9856036
2025-01-01,Bronx,2,LCL/LTD,BX10,Peak,175,172,1.0174419
2025-01-01,Bronx,1,LCL/LTD,BX11,Peak,1111,1176,0.9447279
2025-01-01,Bronx,2,LCL/LTD,BX11,Peak,216,226,0.9557522
2025-01-01,Bronx,1,LCL/LTD,BX12,Peak,689,714,0.96498597
2025-01-01,Bronx,2,LCL/LTD,BX12,Peak,197,202,0.9752475
2025-01-01,Bronx,1,SBS,BX12+,Peak,1353,1365,0.9912088
2025-01-01,Bronx,2,SBS,BX12+,Peak,329,341,0.96480936
2025-01-01,Bronx,1,LCL/LTD,BX13,Peak,1384,1533,0.902805
2025-01-01,Bronx,2,LCL/LTD,BX13,Peak,260,266,0.97744364
2025-01-01,Bronx,1,LCL/LTD,BX15,Peak,1236,1491,0.8289738
2025-01-01,Bronx,2,LCL/LTD,BX15,Peak,265,284,0.9330986
2025-01-01,Bronx,1,LCL/LTD,BX16,Peak,733,798,0.9185464
2025-01-01,Bronx,2,LCL/LTD,BX16,Peak,126,128,0.984375
2025-01-01,Bronx,1,LCL/LTD,BX17,Peak,780,861,0.90592337
2025-01-01,Bronx,2,LCL/LTD,BX17,Peak,172,188,0.9148936
2025-01-01,Bronx,1,LCL/LTD,BX18A,Peak,545,609,0.8949097
2025-01-01,Bronx,2,LCL/LTD,BX18A,Peak,112,121,0.92561984
2025-01-01,Bronx,1,LCL/LTD,BX18B,Peak,524,609,0.8604269
2025-01-01,Bronx,2,LCL/LTD,BX18B,Peak,116,123,0.9430894
2025-01-01,Bronx,1,LCL/LTD,BX19,Peak,949,987,0.9614995
2025-01-01,Bronx,2,LCL/LTD,BX19,Peak,253,256,0.98828125
2025-01-01,Bronx,1,LCL/LTD,BX2,Peak,724,798,0.90726817
2025-01-01,Bronx,2,LCL/LTD,BX2,Peak,164,177,0.92655367
2025-01-01,Bronx,1,LCL/LTD,BX20,Peak,328,378,0.8677249
2025-01-01,Bronx,2,LCL/LTD,BX20,Peak,15,18,0.8333333
2025-01-01,Bronx,1,LCL/LTD,BX21,Peak,907,903,1.0044297
2025-01-01,Bronx,2,LCL/LTD,BX21,Peak,184,188,0.9787234
2025-01-01,Bronx,1,LCL/LTD,BX22,Peak,844,882,0.9569161
2025-01-01,Bronx,2,LCL/LTD,BX22,Peak,185,190,0.9736842
2025-01-01,Bronx,1,LCL/LTD,BX23,Peak,964,1092,0.8827839
2025-01-01,Bronx,2,LCL/LTD,BX23,Peak,114,135,0.84444445
2025-01-01,Bronx,1,LCL/LTD,BX24,Peak,209,210,0.99523807
2025-01-01,Bronx,2,LCL/LTD,BX24,Peak,76,80,0.95
2025-01-01,Bronx,1,LCL/LTD,BX25,Peak,339,357,0.94957983
2025-01-01,Bronx,2,LCL/LTD,BX25,Peak,87,90,0.96666664
2025-01-01,Bronx,1,LCL/LTD,BX26,Peak,339,357,0.94957983
2025-01-01,Bronx,2,LCL/LTD,BX26,Peak,86,87,0.9885057
2025-01-01,Bronx,1,LCL/LTD,BX27,Peak,995,1134,0.877425
2025-01-01,Bronx,2,LCL/LTD,BX27,Peak,179,188,0.95212764
2025-01-01,Bronx,1,LCL/LTD,BX28,Peak,637,630,1.0111111
2025-01-01,Bronx,2,LCL/LTD,BX28,Peak,133,132,1.0075758
2025-01-01,Bronx,1,LCL/LTD,BX29,Peak,401,420,0.9547619
2025-01-01,Bronx,2,LCL/LTD,BX29,Peak,98,99,0.989899
2025-01-01,Bronx,1,LCL/LTD,BX3,Peak,947,987,0.95947313
2025-01-01,Bronx,2,LCL/LTD,BX3,Peak,271,275,0.98545456
2025-01-01,Bronx,1,LCL/LTD,BX30,Peak,791,819,0.96581197
2025-01-01,Bronx,2,LCL/LTD,BX30,Peak,149,156,0.9551282
2025-01-01,Bronx,1,LCL/LTD,BX31,Peak,713,714,0.9985994
2025-01-01,Bronx,2,LCL/LTD,BX31,Peak,134,136,0.9852941
2025-01-01,Bronx,1,LCL/LTD,BX32,Peak,522,630,0.82857144
2025-01-01,Bronx,2,LCL/LTD,BX32,Peak,88,91,0.96703297
2025-01-01,Bronx,1,LCL/LTD,BX33,Peak,354,420,0.8428571
2025-01-01,Bronx,2,LCL/LTD,BX33,Peak,87,88,0.9886364
2025-01-01,Bronx,1,LCL/LTD,BX34,Peak,440,462,0.95238096
2025-01-01,Bronx,2,LCL/LTD,BX34,Peak,114,113,1.0088495
2025-01-01,Bronx,1,LCL/LTD,BX35,Peak,897,966,0.9285714
2025-01-01,Bronx,2,LCL/LTD,BX35,Peak,207,228,0.90789473
2025-01-01,Bronx,1,LCL/LTD,BX36,Peak,1432,1470,0.97414964
2025-01-01,Bronx,2,LCL/LTD,BX36,Peak,264,271,0.97416973
2025-01-01,Bronx,1,LCL/LTD,BX38,Peak,577,651,0.8863287
2025-01-01,Bronx,2,LCL/LTD,BX38,Peak,110,117,0.94017094
2025-01-01,Bronx,1,LCL/LTD,BX39,Peak,849,924,0.91883117
2025-01-01,Bronx,2,LCL/LTD,BX39,Peak,181,194,0.9329897
2025-01-01,Bronx,1,LCL/LTD,BX4,Peak,477,504,0.9464286
2025-01-01,Bronx,2,LCL/LTD,BX4,Peak,127,130,0.97692305
2025-01-01,Bronx,1,LCL/LTD,BX40,Peak,424,441,0.96145123
2025-01-01,Bronx,2,LCL/LTD,BX40,Peak,114,111,1.027027
2025-01-01,Bronx,1,LCL/LTD,BX41,Peak,522,546,0.95604396
2025-01-01,Bronx,2,LCL/LTD,BX41,Peak,173,186,0.93010753
2025-01-01,Bronx,1,SBS,BX41+,Peak,732,819,0.8937729
2025-01-01,Bronx,2,SBS,BX41+,Peak,190,215,0.88372093
2025-01-01,Bronx,1,LCL/LTD,BX42,Peak,436,441,0.9886621
2025-01-01,Bronx,2,LCL/LTD,BX42,Peak,111,117,0.94871795
2025-01-01,Bronx,1,LCL/LTD,BX46,Peak,202,210,0.96190476
2025-01-01,Bronx,2,LCL/LTD,BX46,Peak,61,59,1.0338984
2025-01-01,Bronx,1,LCL/LTD,BX4A,Peak,454,483,0.9399586
2025-01-01,Bronx,2,LCL/LTD,BX4A,Peak,104,113,0.920354
2025-01-01,Bronx,1,LCL/LTD,BX5,Peak,1033,1134,0.91093475
2025-01-01,Bronx,2,LCL/LTD,BX5,Peak,198,208,0.9519231
2025-01-01,Bronx,1,LCL/LTD,BX6,Peak,698,735,0.9496599
2025-01-01,Bronx,2,LCL/LTD,BX6,Peak,194,197,0.98477155
2025-01-01,Bronx,1,SBS,BX6+,Peak,679,672,1.0104166
2025-01-01,Bronx,2,SBS,BX6+,Peak,204,209,0.97607654
2025-01-01,Bronx,1,LCL/LTD,BX7,Peak,885,924,0.9577922
2025-01-01,Bronx,2,LCL/LTD,BX7,Peak,211,220,0.9590909
2025-01-01,Bronx,1,LCL/LTD,BX8,Peak,602,651,0.9247312
2025-01-01,Bronx,2,LCL/LTD,BX8,Peak,97,101,0.96039605
2025-01-01,Bronx,1,LCL/LTD,BX9,Peak,1159,1197,0.96825397
2025-01-01,Bronx,2,LCL/LTD,BX9,Peak,282,283,0.99646646
2025-01-01,Bronx,1,EXP,BXM1,Peak,521,567,0.9188712
2025-01-01,Bronx,2,EXP,BXM1,Peak,54,48,1.125
2025-01-01,Bronx,1,EXP,BXM10,Peak,539,546,0.98717946
2025-01-01,Bronx,2,EXP,BXM10,Peak,61,60,1.0166667
2025-01-01,Bronx,1,EXP,BXM11,Peak,496,504,0.984127
2025-01-01,Bronx,2,EXP,BXM11,Peak,57,56,1.0178572
2025-01-01,Bronx,1,EXP,BXM18,Peak,248,231,1.073593
2025-01-01,Bronx,2,EXP,BXM18,Peak,5,5,1
2025-01-01,Bronx,1,EXP,BXM2,Peak,321,336,0.95535713
2025-01-01,Bronx,2,EXP,BXM2,Peak,58,57,1.0175439
2025-01-01,Bronx,1,EXP,BXM3,Peak,341,357,0.9551821
2025-01-01,Bronx,2,EXP,BXM3,Peak,31,32,0.96875
2025-01-01,Bronx,1,EXP,BXM4,Peak,185,189,0.978836
2025-01-01,Bronx,2,EXP,BXM4,Peak,31,32,0.96875
2025-01-01,Bronx,1,EXP,BXM6,Peak,312,315,0.9904762
2025-01-01,Bronx,2,EXP,BXM6,Peak,35,36,0.9722222
2025-01-01,Bronx,1,EXP,BXM7,Peak,973,966,1.0072464
2025-01-01,Bronx,2,EXP,BXM7,Peak,106,95,1.1157895
2025-01-01,Bronx,1,EXP,BXM8,Peak,689,693,0.994228
2025-01-01,Bronx,2,EXP,BXM8,Peak,47,57,0.8245614
2025-01-01,Bronx,1,EXP,BXM9,Peak,766,735,1.0421768
2025-01-01,Bronx,2,EXP,BXM9,Peak,62,63,0.984127
2025-01-01,Brooklyn,1,LCL/LTD,B1,Peak,881,945,0.9322751
2025-01-01,Brooklyn,2,LCL/LTD,B1,Peak,226,230,0.9826087
2025-01-01,Brooklyn,1,LCL/LTD,B100,Peak,1005,1134,0.8862434
2025-01-01,Brooklyn,2,LCL/LTD,B100,Peak,110,112,0.98214287
2025-01-01,Brooklyn,1,LCL/LTD,B103,Peak,1500,1785,0.84033614
2025-01-01,Brooklyn,2,LCL/LTD,B103,Peak,241,264,0.9128788
2025-01-01,Brooklyn,1,LCL/LTD,B11,Peak,658,682,0.96480936
2025-01-01,Brooklyn,2,LCL/LTD,B11,Peak,164,169,0.9704142
2025-01-01,Brooklyn,1,LCL/LTD,B12,Peak,896,987,0.9078014
2025-01-01,Brooklyn,2,LCL/LTD,B12,Peak,236,249,0.94779116
2025-01-01,Brooklyn,1,LCL/LTD,B13,Peak,533,567,0.9400353
2025-01-01,Brooklyn,2,LCL/LTD,B13,Peak,96,97,0.9896907
2025-01-01,Brooklyn,1,LCL/LTD,B14,Peak,549,588,0.93367344
2025-01-01,Brooklyn,2,LCL/LTD,B14,Peak,129,141,0.9148936
2025-01-01,Brooklyn,1,LCL/LTD,B15,Peak,773,756,1.0224868
