month,borough,day_type,trip_type,route_id,period,total_operating_time,total_mileage,average_speed
2025-01-01,Bronx,1,LCL/LTD,BX1,Off-Peak,2940,20294.842,6.9018025
2025-01-01,Bronx,1,LCL/LTD,BX1,Peak,1334,8851.031,6.630706
2025-01-01,Bronx,2,LCL/LTD,BX1,Off-Peak,774,5440.463,7.0272794
2025-01-01,Bronx,2,LCL/LTD,BX1,Peak,307,2149.44,6.9939723
2025-01-01,Bronx,1,LCL/LTD,BX10,Off-Peak,2654,23595.56,8.8876705
2025-01-01,Bronx,1,LCL/LTD,BX10,Peak,1402,11007.821,7.848145
2025-01-01,Bronx,2,LCL/LTD,BX10,Off-Peak,600,5939.233,9.897906
2025-01-01,Bronx,2,LCL/LTD,BX10,Peak,247,2290.567,9.27085
2025-01-01,Bronx,1,LCL/LTD,BX11,Off-Peak,3172,19824.898,6.2487593
2025-01-01,Bronx,1,LCL/LTD,BX11,Peak,1661,9187.633,5.529844
2025-01-01,Bronx,2,LCL/LTD,BX11,Off-Peak,784,5471.441,6.973478
2025-01-01,Bronx,2,LCL/LTD,BX11,Peak,327,2129.26,6.5027432
2025-01-01,Bronx,1,LCL/LTD,BX12,Off-Peak,1692,16136.759,9.535327
2025-01-01,Bronx,1,LCL/LTD,BX12,Peak,694,5729.988,8.252285
2025-01-01,Bronx,2,LCL/LTD,BX12,Off-Peak,553,5888.544,10.645613
2025-01-01,Bronx,2,LCL/LTD,BX12,Peak,175,1755.009,9.990279
2025-01-01,Bronx,1,SBS,BX12+,Off-Peak,3493,34832.715,9.970491
2025-01-01,Bronx,1,SBS,BX12+,Peak,1917,17840.521,9.304856
2025-01-01,Bronx,2,SBS,BX12+,Off-Peak,927,9764.065,10.525683
2025-01-01,Bronx,2,SBS,BX12+,Peak,435,4544.999,10.425107
2025-01-01,Bronx,1,LCL/LTD,BX13,Off-Peak,1688,11632.946,6.888749
2025-01-01,Bronx,1,LCL/LTD,BX13,Peak,992,6023.382,6.0713115
2025-01-01,Bronx,2,LCL/LTD,BX13,Off-Peak,484,3456.473,7.1320543
