month,borough,day_type,trip_type,route_id,period,number_of_trips_passing_wait,number_of_scheduled_trips,wait_assessment
2025-01-01,Bronx,1,LCL/LTD,BX1,Off-Peak,10304,14178,0.7267598
2025-01-01,Bronx,1,LCL/LTD,BX1,Peak,4153,7176,0.5787347
2025-01-01,Bronx,2,LCL/LTD,BX1,Off-Peak,2671,3850,0.69376624
2025-01-01,Bronx,2,LCL/LTD,BX1,Peak,1048,1624,0.6453202
2025-01-01,Bronx,1,LCL/LTD,BX10,Off-Peak,13197,16678,0.79128194
2025-01-01,Bronx,1,LCL/LTD,BX10,Peak,5809,8208,0.70772415
2025-01-01,Bronx,2,LCL/LTD,BX10,Off-Peak,3361,4147,0.8104654
2025-01-01,Bronx,2,LCL/LTD,BX10,Peak,1306,1577,0.82815474
2025-01-01,Bronx,1,LCL/LTD,BX11,Off-Peak,15215,20395,0.7460162
2025-01-01,Bronx,1,LCL/LTD,BX11,Peak,6752,10385,0.65016854
2025-01-01,Bronx,2,LCL/LTD,BX11,Off-Peak,4170,5724,0.7285115
2025-01-01,Bronx,2,LCL/LTD,BX11,Peak,1574,2200,0.7154545
2025-01-01,Bronx,1,LCL/LTD,BX12,Off-Peak,13907,17196,0.8087346
2025-01-01,Bronx,1,LCL/LTD,BX12,Peak,4562,6415,0.71114576
2025-01-01,Bronx,2,LCL/LTD,BX12,Off-Peak,5062,6548,0.7730605
2025-01-01,Bronx,2,LCL/LTD,BX12,Peak,1575,1992,0.79066265
2025-01-01,Bronx,1,SBS,BX12+,Off-Peak,5681,6999,0.8116874
2025-01-01,Bronx,1,SBS,BX12+,Peak,2764,3722,0.7426115
2025-01-01,Bronx,2,SBS,BX12+,Off-Peak,1624,1930,0.84145075
2025-01-01,Bronx,2,SBS,BX12+,Peak,708,901,0.78579354
2025-01-01,Bronx,1,LCL/LTD,BX13,Off-Peak,9898,12537,0.7895031
2025-01-01,Bronx,1,LCL/LTD,BX13,Peak,4259,6312,0.6747465
2025-01-01,Bronx,2,LCL/LTD,BX13,Off-Peak,3110,3629,0.8569854
2025-01-01,Bronx,2,LCL/LTD,BX13,Peak,1247,1551,0.8039974
2025-01-01,Bronx,1,LCL/LTD,BX15,Off-Peak,10866,16791,0.6471324
2025-01-01,Bronx,1,LCL/LTD,BX15,Peak,3992,8304,0.48073217
2025-01-01,Bronx,2,LCL/LTD,BX15,Off-Peak,3214,4329,0.74243474
2025-01-01,Bronx,2,LCL/LTD,BX15,Peak,1166,1637,0.71227854
2025-01-01,Bronx,1,LCL/LTD,BX16,Off-Peak,11142,13860,0.8038961
2025-01-01,Bronx,1,LCL/LTD,BX16,Peak,5365,8347,0.6427459
2025-01-01,Bronx,2,LCL/LTD,BX16,Off-Peak,2708,3652,0.7415115
2025-01-01,Bronx,2,LCL/LTD,BX16,Peak,1258,1550,0.8116129
2025-01-01,Bronx,1,LCL/LTD,BX17,Off-Peak,9763,13903,0.7022225
2025-01-01,Bronx,1,LCL/LTD,BX17,Peak,5164,8391,0.6154213
2025-01-01,Bronx,2,LCL/LTD,BX17,Off-Peak,3046,4141,0.73557115
2025-01-01,Bronx,2,LCL/LTD,BX17,Peak,1188,1761,0.6746167
2025-01-01,Bronx,1,LCL/LTD,BX18A,Off-Peak,1201,1793,0.6698271
2025-01-01,Bronx,1,LCL/LTD,BX18A,Peak,678,1152,0.5885417
2025-01-01,Bronx,2,LCL/LTD,BX18A,Off-Peak,418,612,0.6830065
2025-01-01,Bronx,2,LCL/LTD,BX18A,Peak,151,240,0.62916666
2025-01-01,Bronx,1,LCL/LTD,BX18B,Off-Peak,1248,1749,0.7135506
2025-01-01,Bronx,1,LCL/LTD,BX18B,Peak,696,1202,0.5790349
2025-01-01,Bronx,2,LCL/LTD,BX18B,Off-Peak,452,610,0.7409836
2025-01-01,Bronx,2,LCL/LTD,BX18B,Peak,183,243,0.75308645
2025-01-01,Bronx,1,LCL/LTD,BX19,Off-Peak,11165,15031,0.7427982
2025-01-01,Bronx,1,LCL/LTD,BX19,Peak,4770,7217,0.66093946
2025-01-01,Bronx,2,LCL/LTD,BX19,Off-Peak,3871,5062,0.7647175
2025-01-01,Bronx,2,LCL/LTD,BX19,Peak,1495,2042,0.73212534
2025-01-01,Bronx,1,LCL/LTD,BX2,Off-Peak,6548,8755,0.7479155
2025-01-01,Bronx,1,LCL/LTD,BX2,Peak,2926,4395,0.6657565
2025-01-01,Bronx,2,LCL/LTD,BX2,Off-Peak,1558,2207,0.70593566
2025-01-01,Bronx,2,LCL/LTD,BX2,Peak,714,978,0.73006135
2025-01-01,Bronx,1,LCL/LTD,BX20,Off-Peak,154,305,0.50491804
2025-01-01,Bronx,1,LCL/LTD,BX20,Peak,725,1344,0.53943455
2025-01-01,Bronx,2,LCL/LTD,BX20,Off-Peak,8,11,0.72727275
2025-01-01,Bronx,2,LCL/LTD,BX20,Peak,33,45,0.73333335
2025-01-01,Bronx,1,LCL/LTD,BX21,Off-Peak,16415,23874,0.68756807
2025-01-01,Bronx,1,LCL/LTD,BX21,Peak,7081,11801,0.6000339
2025-01-01,Bronx,2,LCL/LTD,BX21,Off-Peak,4416,6453,0.68433285
2025-01-01,Bronx,2,LCL/LTD,BX21,Peak,1644,2257,0.7284005
2025-01-01,Bronx,1,LCL/LTD,BX22,Off-Peak,18729,22914,0.8173606
2025-01-01,Bronx,1,LCL/LTD,BX22,Peak,9043,12859,0.70324284
2025-01-01,Bronx,2,LCL/LTD,BX22,Off-Peak,5043,6283,0.80264205
2025-01-01,Bronx,2,LCL/LTD,BX22,Peak,1756,2373,0.73999155
2025-01-01,Bronx,1,LCL/LTD,BX23,Off-Peak,3890,5939,0.6549924
2025-01-01,Bronx,1,LCL/LTD,BX23,Peak,3512,5987,0.5866043
2025-01-01,Bronx,2,LCL/LTD,BX23,Off-Peak,796,1620,0.491358
2025-01-01,Bronx,2,LCL/LTD,BX23,Peak,375,715,0.5244755
2025-01-01,Bronx,1,LCL/LTD,BX24,Off-Peak,2008,2338,0.8588537
2025-01-01,Bronx,1,LCL/LTD,BX24,Peak,668,824,0.8106796
2025-01-01,Bronx,2,LCL/LTD,BX24,Off-Peak,717,888,0.8074324
2025-01-01,Bronx,2,LCL/LTD,BX24,Peak,239,315,0.7587302
2025-01-01,Bronx,1,LCL/LTD,BX25,Off-Peak,5483,6876,0.79741126
2025-01-01,Bronx,1,LCL/LTD,BX25,Peak,2510,3973,0.6317644
2025-01-01,Bronx,2,LCL/LTD,BX25,Off-Peak,1818,2264,0.80300355
2025-01-01,Bronx,2,LCL/LTD,BX25,Peak,749,1035,0.7236715
2025-01-01,Bronx,1,LCL/LTD,BX26,Off-Peak,5596,7145,0.78320503
2025-01-01,Bronx,1,LCL/LTD,BX26,Peak,2777,3888,0.71424896
2025-01-01,Bronx,2,LCL/LTD,BX26,Off-Peak,1850,2301,0.80399823
2025-01-01,Bronx,2,LCL/LTD,BX26,Peak,843,1021,0.8256611
2025-01-01,Bronx,1,LCL/LTD,BX27,Off-Peak,9571,12318,0.77699304
2025-01-01,Bronx,1,LCL/LTD,BX27,Peak,5363,8329,0.64389485
2025-01-01,Bronx,2,LCL/LTD,BX27,Off-Peak,2895,3520,0.8224432
2025-01-01,Bronx,2,LCL/LTD,BX27,Peak,1249,1658,0.75331724
2025-01-01,Bronx,1,LCL/LTD,BX28,Off-Peak,9666,12691,0.7616421
2025-01-01,Bronx,1,LCL/LTD,BX28,Peak,3251,4898,0.6637403
2025-01-01,Bronx,2,LCL/LTD,BX28,Off-Peak,2762,3469,0.79619485
2025-01-01,Bronx,2,LCL/LTD,BX28,Peak,810,1078,0.7513915
2025-01-01,Bronx,1,LCL/LTD,BX29,Off-Peak,1370,1598,0.8573217
2025-01-01,Bronx,1,LCL/LTD,BX29,Peak,599,771,0.7769131
2025-01-01,Bronx,2,LCL/LTD,BX29,Off-Peak,588,644,0.9130435
2025-01-01,Bronx,2,LCL/LTD,BX29,Peak,173,197,0.8781726
2025-01-01,Bronx,1,LCL/LTD,BX3,Off-Peak,12692,16710,0.7595452
2025-01-01,Bronx,1,LCL/LTD,BX3,Peak,5127,7646,0.6705467
2025-01-01,Bronx,2,LCL/LTD,BX3,Off-Peak,4189,5218,0.80279803
2025-01-01,Bronx,2,LCL/LTD,BX3,Peak,1600,2106,0.7597341
2025-01-01,Bronx,1,LCL/LTD,BX30,Off-Peak,9440,12274,0.76910543
2025-01-01,Bronx,1,LCL/LTD,BX30,Peak,5286,7547,0.7004108
2025-01-01,Bronx,2,LCL/LTD,BX30,Off-Peak,2444,3265,0.74854517
2025-01-01,Bronx,2,LCL/LTD,BX30,Peak,1146,1455,0.7876289
2025-01-01,Bronx,1,LCL/LTD,BX31,Off-Peak,6847,9514,0.71967626
2025-01-01,Bronx,1,LCL/LTD,BX31,Peak,3073,4784,0.6423495
2025-01-01,Bronx,2,LCL/LTD,BX31,Off-Peak,1994,2554,0.7807361
2025-01-01,Bronx,2,LCL/LTD,BX31,Peak,691,935,0.73903745
2025-01-01,Bronx,1,LCL/LTD,BX32,Off-Peak,5062,7606,0.6655272
2025-01-01,Bronx,1,LCL/LTD,BX32,Peak,2590,4703,0.5507123
2025-01-01,Bronx,2,LCL/LTD,BX32,Off-Peak,1169,1636,0.7145477
2025-01-01,Bronx,2,LCL/LTD,BX32,Peak,458,723,0.63347167
2025-01-01,Bronx,1,LCL/LTD,BX33,Off-Peak,4699,5970,0.78710216
2025-01-01,Bronx,1,LCL/LTD,BX33,Peak,1720,3139,0.5479452
2025-01-01,Bronx,2,LCL/LTD,BX33,Off-Peak,1089,1401,0.7773019
2025-01-01,Bronx,2,LCL/LTD,BX33,Peak,494,642,0.7694704
2025-01-01,Bronx,1,LCL/LTD,BX34,Off-Peak,5661,7269,0.7787866
2025-01-01,Bronx,1,LCL/LTD,BX34,Peak,2183,3304,0.66071427
2025-01-01,Bronx,2,LCL/LTD,BX34,Off-Peak,1555,1971,0.7889396
2025-01-01,Bronx,2,LCL/LTD,BX34,Peak,651,799,0.81476843
2025-01-01,Bronx,1,LCL/LTD,BX35,Off-Peak,17021,22192,0.7669881
2025-01-01,Bronx,1,LCL/LTD,BX35,Peak,6175,10320,0.59835273
2025-01-01,Bronx,2,LCL/LTD,BX35,Off-Peak,4500,6301,0.71417236
2025-01-01,Bronx,2,LCL/LTD,BX35,Peak,1629,2391,0.6813049
2025-01-01,Bronx,1,LCL/LTD,BX36,Off-Peak,10273,14522,0.70740944
2025-01-01,Bronx,1,LCL/LTD,BX36,Peak,4852,7850,0.6180892
2025-01-01,Bronx,2,LCL/LTD,BX36,Off-Peak,2854,3995,0.714393
2025-01-01,Bronx,2,LCL/LTD,BX36,Peak,1047,1481,0.7069548
2025-01-01,Bronx,1,LCL/LTD,BX38,Off-Peak,5643,8082,0.6982183
2025-01-01,Bronx,1,LCL/LTD,BX38,Peak,3191,4925,0.64791876
2025-01-01,Bronx,2,LCL/LTD,BX38,Off-Peak,1751,2250,0.7782222
2025-01-01,Bronx,2,LCL/LTD,BX38,Peak,771,1007,0.7656405
2025-01-01,Bronx,1,LCL/LTD,BX39,Off-Peak,4018,5474,0.73401535
2025-01-01,Bronx,1,LCL/LTD,BX39,Peak,1907,2787,0.68424827
2025-01-01,Bronx,2,LCL/LTD,BX39,Off-Peak,1371,1853,0.7398813
2025-01-01,Bronx,2,LCL/LTD,BX39,Peak,525,719,0.7301808
2025-01-01,Bronx,1,LCL/LTD,BX4,Off-Peak,7576,9835,0.7703101
2025-01-01,Bronx,1,LCL/LTD,BX4,Peak,2861,4397,0.6506709
2025-01-01,Bronx,2,LCL/LTD,BX4,Off-Peak,2118,2918,0.7258396
2025-01-01,Bronx,2,LCL/LTD,BX4,Peak,849,1095,0.77534246
2025-01-01,Bronx,1,LCL/LTD,BX40,Off-Peak,10515,13751,0.7646717
2025-01-01,Bronx,1,LCL/LTD,BX40,Peak,3676,5411,0.6793569
2025-01-01,Bronx,2,LCL/LTD,BX40,Off-Peak,2920,4014,0.7274539
2025-01-01,Bronx,2,LCL/LTD,BX40,Peak,988,1298,0.76117104
2025-01-01,Bronx,1,LCL/LTD,BX41,Off-Peak,10601,14730,0.7196877
2025-01-01,Bronx,1,LCL/LTD,BX41,Peak,3075,5183,0.59328574
2025-01-01,Bronx,2,LCL/LTD,BX41,Off-Peak,3763,5165,0.7285576
2025-01-01,Bronx,2,LCL/LTD,BX41,Peak,1296,1748,0.7414188
2025-01-01,Bronx,1,SBS,BX41+,Off-Peak,2084,3020,0.6900662
2025-01-01,Bronx,1,SBS,BX41+,Peak,892,1500,0.59466666
2025-01-01,Bronx,2,SBS,BX41+,Off-Peak,572,782,0.7314578
2025-01-01,Bronx,2,SBS,BX41+,Peak,291,398,0.73115575
2025-01-01,Bronx,1,LCL/LTD,BX42,Off-Peak,9004,12198,0.7381538
2025-01-01,Bronx,1,LCL/LTD,BX42,Peak,3509,5153,0.68096256
2025-01-01,Bronx,2,LCL/LTD,BX42,Off-Peak,2684,3585,0.74867505
2025-01-01,Bronx,2,LCL/LTD,BX42,Peak,1035,1370,0.75547445
2025-01-01,Bronx,1,LCL/LTD,BX46,Off-Peak,877,1065,0.82347417
2025-01-01,Bronx,1,LCL/LTD,BX46,Peak,318,411,0.77372265
2025-01-01,Bronx,2,LCL/LTD,BX46,Off-Peak,293,328,0.89329267
2025-01-01,Bronx,2,LCL/LTD,BX46,Peak,89,102,0.872549
2025-01-01,Bronx,1,LCL/LTD,BX4A,Off-Peak,4370,5441,0.8031612
2025-01-01,Bronx,1,LCL/LTD,BX4A,Peak,1736,2616,0.66360855
2025-01-01,Bronx,2,LCL/LTD,BX4A,Off-Peak,1141,1493,0.7642331
2025-01-01,Bronx,2,LCL/LTD,BX4A,Peak,481,659,0.7298938
2025-01-01,Bronx,1,LCL/LTD,BX5,Off-Peak,10948,14413,0.75959206
2025-01-01,Bronx,1,LCL/LTD,BX5,Peak,4981,8037,0.6197586
2025-01-01,Bronx,2,LCL/LTD,BX5,Off-Peak,4313,5740,0.75139374
2025-01-01,Bronx,2,LCL/LTD,BX5,Peak,1578,2309,0.68341273
2025-01-01,Bronx,1,LCL/LTD,BX6,Off-Peak,12177,16259,0.74893904
2025-01-01,Bronx,1,LCL/LTD,BX6,Peak,4305,6651,0.6472711
2025-01-01,Bronx,2,LCL/LTD,BX6,Off-Peak,4327,5489,0.78830385
2025-01-01,Bronx,2,LCL/LTD,BX6,Peak,1604,1925,0.83324677
2025-01-01,Bronx,1,SBS,BX6+,Off-Peak,1834,2279,0.80473894
2025-01-01,Bronx,1,SBS,BX6+,Peak,922,1305,0.7065134
2025-01-01,Bronx,2,SBS,BX6+,Off-Peak,646,790,0.81772155
