Fiscal Year,Month,Scenario,Financial Plan Year,Expense Type,Agency,Function,Occupational Group,Positions
2025,2025-05-01,Actual,2025,NREIMB,MTAHQ,Public Safety,Professional/Technical/Clerical,79
2025,2025-05-01,Actual,2025,REIMB,CD,Engineering,Operational Hourlies,45
2025,2025-05-01,Actual,2025,NREIMB,LIRR,Administration,Managers/Supervisors,239.9
2025,2025-05-01,Actual,2025,REIMB,SIR,Engineering,Professional/Technical/Clerical,1
2025,2025-05-01,Actual,2025,NREIMB,NYCT,Administration,Professional/Technical/Clerical,407.22
2025,2025-05-01,Actual,2025,NREIMB,MTABC,Engineering,Operational Hourlies,0
2025,2025-05-01,Actual,2025,REIMB,NYCT,Engineering,Professional/Technical/Clerical,358
2025,2025-05-01,Actual,2025,NREIMB,MTAHQ,Public Safety,Operational Hourlies,1060
2025,2025-05-01,Actual,2025,NREIMB,NYCT,Maintenance,Operational Hourlies,16233.89
2025,2025-05-01,Actual,2025,REIMB,NYCT,Maintenance,Professional/Technical/Clerical,234.39
2025,2025-05-01,Actual,2025,REIMB,MTABC,Engineering,Managers/Supervisors,11
2025,2025-05-01,Actual,2025,NREIMB,LIRR,Operations,Managers/Supervisors,343.3
2025,2025-05-01,Actual,2025,REIMB,CD,Administration,Managers/Supervisors,452
2025,2025-05-01,Actual,2025,NREIMB,BT,Public Safety,Professional/Technical/Clerical,31
2025,2025-05-01,Actual,2025,REIMB,SIR,Maintenance,Managers/Supervisors,0
2025,2025-05-01,Actual,2025,REIMB,SIR,Maintenance,Professional/Technical/Clerical,0
2025,2025-05-01,Actual,2025,NREIMB,MTABC,Maintenance,Operational Hourlies,799
2025,2025-05-01,Actual,2025,NREIMB,SIR,Maintenance,Professional/Technical/Clerical,10
2025,2025-05-01,Actual,2025,REIMB,NYCT,Operations,Operational Hourlies,1133.34
2025,2025-05-01,Actual,2025,NREIMB,MTABC,Public Safety,Operational Hourlies,0
2025,2025-05-01,Actual,2025,NREIMB,SIR,Engineering,Managers/Supervisors,3
2025,2025-05-01,Actual,2025,REIMB,MTABC,Operations,Managers/Supervisors,2
2025,2025-05-01,Actual,2025,NREIMB,MTABC,Engineering,Professional/Technical/Clerical,0
2025,2025-05-01,Actual,2025,NREIMB,NYCT,Public Safety,Managers/Supervisors,410.68
2025,2025-05-01,Actual,2025,REIMB,MTABC,Maintenance,Professional/Technical/Clerical,0
2025,2025-05-01,Actual,2025,NREIMB,MTABC,Administration,Professional/Technical/Clerical,38
2025,2025-05-01,Actual,2025,REIMB,NYCT,Maintenance,Operational Hourlies,1028.11
2025,2025-05-01,Actual,2025,NREIMB,SIR,Maintenance,Managers/Supervisors,31
2025,2025-05-01,Actual,2025,REIMB,NYCT,Engineering,Operational Hourlies,2
2025,2025-05-01,Actual,2025,NREIMB,MTABC,Maintenance,Professional/Technical/Clerical,26
2025,2025-05-01,Actual,2025,REIMB,SIR,Maintenance,Operational Hourlies,4
2025,2025-05-01,Actual,2025,NREIMB,BT,Administration,Managers/Supervisors,14
2025,2025-05-01,Actual,2025,NREIMB,MTABC,Operations,Professional/Technical/Clerical,42
2025,2025-05-01,Actual,2025,NREIMB,MNR,Operations,Professional/Technical/Clerical,247.42
2025,2025-05-01,Actual,2025,REIMB,MTABC,Maintenance,Operational Hourlies,0
2025,2025-05-01,Actual,2025,NREIMB,MNR,Operations,Operational Hourlies,1596.93
2025,2025-05-01,Actual,2025,REIMB,NYCT,Administration,Professional/Technical/Clerical,56.7
2025,2025-05-01,Actual,2025,NREIMB,MTABC,Operations,Operational Hourlies,2351
2025,2025-05-01,Actual,2025,NREIMB,SIR,Operations,Professional/Technical/Clerical,6
2025,2025-05-01,Actual,2025,REIMB,MTABC,Administration,Professional/Technical/Clerical,3
2025,2025-05-01,Actual,2025,REIMB,SIR,Operations,Managers/Supervisors,0
2025,2025-05-01,Actual,2025,NREIMB,BT,Engineering,Professional/Technical/Clerical,34
2025,2025-05-01,Actual,2025,NREIMB,BT,Operations,Professional/Technical/Clerical,74
2025,2025-05-01,Actual,2025,NREIMB,SIR,Operations,Operational Hourlies,109
2025,2025-05-01,Actual,2025,REIMB,NYCT,Operations,Professional/Technical/Clerical,18.5
2025,2025-05-01,Actual,2025,NREIMB,MNR,Administration,Managers/Supervisors,171.9
2025,2025-05-01,Actual,2025,NREIMB,SIR,Engineering,Professional/Technical/Clerical,1
2025,2025-05-01,Actual,2025,NREIMB,SIR,Administration,Managers/Supervisors,13
2025,2025-05-01,Actual,2025,REIMB,CD,Administration,Operational Hourlies,11
2025,2025-05-01,Actual,2025,NREIMB,LIRR,Maintenance,Operational Hourlies,2833.7
