route_id,avg_monthly_number_of_customers
B6,448826
BX19,395461
BX12+,386819
BX9,350562
BX36,333599
B35,317158
Q58,292447
M15+,285359
B41,279499
M101,270700
BX2,263541
Q27,261584
BX15,241176
M14D+,238110
Q44+,233417
Q25,227454
Q65,225706
BX39,217922
BX1,217562
BX35,214732
M86+,213305
BX11,209426
Q53+,203005
Q10,202267
B1,201898
Q46,199746
BX3,199372
B15,195874
B46,191987
B82,190542
B82+,185891
B8,184994
BX22,184267
Q66,181892
Q23,177807
BX21,175341
Q111,174525
BX41+,173149
M4,172573
B46+,172329
B44,171593
BX7,170786
BX13,170215
BX12,169668
B38,164529
B103,162145
Q43,159525
BX6,158465
Q17,156420
BX41,152826
M3,151499
M60+,151359
B44+,149484
B12,149447
BX17,148616
M11,146729
M125,145528
B9,145180
B36,143558
M100,141185
BX6+,140837
M96,140411
Q5,140154
Q88,139937
M102,137668
BX40,137549
Q60,137447
Q85,135901
BX28,135601
M15,134946
B49,133762
BX42,131053
M7,129769
B68,129546
M23+,128695
BX10,127367
M14A+,127168
Q54,126658
BX5,125632
B3,122296
B63,121941
Q30,121421
B47,120505
B60,120307
Q6,119073
M1,117573
B52,116990
Q4,114287
BX31,113947
B11,111834
M79+,110015
Q69,109813
B17,109754
M2,108223
M116,105943
Q8,104840
Q3,104106
M31,99488
BX16,97880
M42,97669
B54,96904
Q28,96513
BX8,96056
B43,95571
S79+,94165
S78,93177
S53,92795
B26,92451
Q83,92316
BX32,91336
B20,90999
B25,90154
Q52+,89549
Q49,89087
Q64,88911
BX4,88407
B16,88336
Q77,88286
BX30,88250
Q32,88140
Q18,87970
BX27,87327
Q12,87265
M103,86263
Q47,86037
BX38,85459
B13,84688
B61,84338
Q22,83102
Q38,82988
B83,80893
M10,80783
S46,79838
B57,79801
Q24,79594
Q56,78137
Q20A,78096
Q34,77075
Q31,76800
Q55,75975
Q59,74588
M5,73860
B62,73459
Q70+,72670
Q13,71999
M66,71496
B14,71303
Q37,71075
Q72,71041
M57,71011
M104,69779
Q41,69462
B64,69437
M34A+,69324
B70,69237
B4,69205
Q20B,69068
B100,69013
Q33,68992
S44,68304
Q76,66447
Q110,66349
B7,65981
S48,65099
Q36,65036
B42,64547
M34+,62261
Q2,61742
S74,60889
S93,60118
BX4A,59959
Q113,59781
Q7,58538
B69,56647
B67,56488
Q39,55631
M9,55571
Q112,53649
Q29,52936
Q84,51206
B45,50824
S76,50713
BX26,50545
BX23,49750
Q40,49696
Q114,47603
BX25,46002
Q11,45858
Q19,45746
S40,45037
S59,44595
Q100,44553
B74,43746
M72,43732
Q9,43452
Q35,43272
Q1,42341
S52,41837
Q50,41806
Q16,41249
S61,40429
BX34,39442
B65,37976
S51,35929
S62,35554
BX18B,35078
B48,34371
Q101,34217
Q15A,34165
Q48,31364
Q15,30723
Q102,29004
BX18A,28188
B31,27879
BX33,27418
M50,27287
Q67,26687
M106,24923
Q104,24897
Q21,24606
B24,24072
B37,21864
M22,21857
M98,21587
M35,21362
S57,20774
S54,20356
B2,19977
Q103,18916
M55,18841
M21,16953
M20,15928
Q26,15021
S66,14887
S56,14012
M8,13911
BX29,13300
S98,13083
M12,12243
Q42,12032
S96,11883
S55,10691
S90,10601
B32,10389
BX24,10003
BX20,8767
S91,8519
S42,8249
S94,8215
S92,6930
Q20,6269
S89,5988
BX46,5828
B84,5626
Q14,4150
Q63,3959
Q98,3745
Q115,3110
S84,2597
Q45,2476
Q87,1943
Q86,1876
S81,1809
Q89,1799
B39,1773
Q75,1172
Q82,992
Q61,988
S86,988
Q51,925
Q74,903
Q90,308
